stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.53,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,3.61,0,0,0,0
 24-34,0,0,0,0,0,1.33,0,0,1.94,0,2.19,0,8.52,0,0,0,0,137.34,0,0,0,0,51.05,0,0,1.03,0
 36-46,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,0.72,528.61,0,0,0,1.71,77.37,0,0,0,0
 48-58,0,0,0.42,4.41,0,56.68,0,10.76,0,0,0,0,0,5.8,0,0,0,1001.14,0,0,0,0,128.24,0,0,0,0.91
 60-70,0,0,0,0,0,195.48,0,4.41,0,0,0,0,0,3.92,0,0,0,1323.98,0,1.23,0,0,139.69,0,0,0.87,10.27
 72-82,0,0,0,1.22,11.48,116.65,0.76,12.25,0,0,0,0.57,0,2.78,0.55,0,0,1104.12,0,0,0,1.03,71.72,0,0,0,0
 84-94,0,0,0,1.27,0.61,128.16,0,8.42,0,0,0,0,2.93,5.02,0,0,0,809.87,0,0,0,1.67,63.89,0,0,0.97,0
 96-106,0,0,1.78,6.89,1.84,121.88,0,21.49,0,0,0.85,0.75,9.06,3.98,0,1.06,2.46,599.81,1.83,0,0,1.93,33.53,1.13,1.93,1.05,8.81
108-118,0,0,0,1.52,1.61,72.15,0,3.58,0,0.59,0,1.79,5.97,6.47,0,0,0,850.4,1.07,0,0,0,28.54,0,0,1.44,0
120,0,0,0,9.03,1.14,120.5,0,28.78,0,2.76,0,0,0,25.4,0,0,0,1345.23,0,0,9.21,0,20.51,0,0,0,0
