stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.56,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,4.62,0,0,0,18.28,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,2.83,17.14,0,1.25,0,0,0,4.8,0,0,0,0,0,0,0.92,0,2.03,0,0,0,5.32,0,0,0,0,0,0,4.08,0,0.99,19.12,0,1.25,0,0
 24-34,0,0,0,0,1.38,0.95,0,0.6,0,0,0,16.54,1.94,0,0,0,0,0,0.68,0,0.81,0,0,2.22,5.91,1.57,0.73,0,0,0,0,7.16,5.18,2.27,11.79,0,1.97,0,0
 36-46,0,0,0,0,6.64,0,0,0.63,0,0,0,4.3,3.75,0,0,0,0,0,14.13,0,0,0,0,1.5,8.89,5.97,0,0,0,0,0,4.63,0,0,13.64,0,0,0,0
 48-58,0,0,0,0,8.82,0,0,7.97,0,0,0,9.92,17.34,0,0,0,0,0,51.17,0,1.37,0,0.49,0,14.58,0.44,0,0,0,0,0,7.15,0,0,24.22,0,0.41,0,0
 60-70,0,0,0,0,8.6,0,0,5.94,2.88,0,0,77.23,42.39,0,0,0,0,0,112.13,0,3.35,0,0,0,23.21,3.62,3.17,0,0,0,1.38,4.27,0,0,8.27,0,0,0,0
 72-82,0,0,1.3,0,4.28,2.75,0,48.21,0,0,0,440.23,174.12,1.72,0,0,2.65,0,505.87,0,16.15,1.57,0,0.84,116.41,3.69,1.06,0,0,0.75,0,6.28,0,0,1.83,0.66,11.38,0,0
 84-94,0,0,2.91,0,7.91,10.49,3.29,49.02,0,0.6,0,341.22,300.69,0,4.37,0,0,0,1266.91,0,6.29,0.71,0,0.6,104.49,0.99,3.01,0,0,1.49,0,5.48,0,0,10.39,7.43,1.22,0,2.45
 96-106,0,0,7.51,0,13.46,32.43,3.98,103.21,2.65,0,0.63,837.39,407.77,0,2.94,3.91,0,0.77,1784.79,0,42.86,0,0,6.21,345.71,3.85,1.22,0,0,8.72,0,4.34,0,0,11.8,4.35,6.79,0,2.56
108-118,0,0,4.62,0,5.06,11.04,0.94,86.91,0.58,0,2.55,878.27,280.55,0,0.55,0.51,0.48,0.98,2437,0,39.77,0,0.65,5.22,249.35,9.95,4.75,0,1.02,8.45,0,6.41,0,0,19.04,2.7,4.18,0,0
120,0,0,0,0,17.86,1.47,1.14,67.31,0,3.78,0,1045.66,126.27,0,14.98,0,0,0,1061.72,5.95,11.94,0,0,1.93,121.76,1.45,0,0,0,4.84,0,2.95,0,0,3.65,0,0,5.34,7.58
