stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,82.06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0
  7-9,0,3.38,0,3.2,0,0,0,0,0,0,0,0,0,15.82,9.79,0,0,0,0,0
 10-12,0,7.61,0,0,0,0,0,0,0,0,0,0,0,12.76,22.53,0,0,0,0,0
 14-21,0,0,2.25,0,0,0,1.07,0,0,0,0.8,0,1.82,3.88,0,0,0.92,2.44,5.87,0
 24-34,0,0,0.73,1.72,0,1.11,0,0,0,0.66,0.88,0,1.55,14.02,0,1.89,0,0.71,4.56,0.73
 36-46,0,0,0,0.82,0,0,0,0,0,0,0,0,1.16,3.67,0,0.99,0,0,4.81,2.84
 48-58,0,0,0,0,0,0.37,0.75,0,0,0,1.09,0,0.43,10.99,0,17.22,0,0,2.03,0
 60-70,0,0,0,0.88,1.42,0,0.85,0,1.74,0,0,0,0,3.82,0,2.84,0,0,0,0
 72-82,0,0,0.63,12.17,0,0,2.47,0,0,0,1.17,0,0,8.96,0,3.87,0,0,2.7,0
 84-94,0,0,0.63,10.43,0,0,0,0,0,0,1.97,0,0,14.14,0,26.05,0,0,0,0
 96-106,0,0,0.61,0,0,0,2.83,0,0,0,0.74,0,0,3.5,0,23.71,0,0,0,0
108-118,0,0,1.88,2.47,0,0,1.67,0.85,0.96,0,0,0,0,0.65,0,13.64,0,0,0,0
120,0,0,4.73,1.62,0,0,0,1.13,0,0,0,1.15,0,1.58,0,34.61,0,0,0,0
