stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.65,3.43,0,0,13.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.47,0,0,0,10.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.42,0.81,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,105.09,0,0,0.99,0,0,1.01,0,46.43,0,0,0,0
 24-34,0,0,0,0,0,0,0,9.65,0,0,0,0.65,0,0,0,0,0.6,0,0,0.86,0,0,0,898.95,0,0,1.09,0,2.73,0,0,204.13,0,1.46,0,0
 36-46,0,0,0,0,2.61,0,0,57.52,0,0,0,23.24,0,0,1.46,0,0,0,0,0.85,0,0,1.23,2848.53,0,14.52,2.22,0,10.11,0,0,362.01,0,0,0,0
 48-58,0,0,0,0,15.27,0,0,226.41,0.67,0,3.46,62.77,0,0,0,0.48,0.4,0,2.65,10.87,0,0,8.12,4028.04,0,9.92,1.25,0,9.85,0,0.49,568.55,0,0.59,0,2.84
 60-70,0,0,0,0,0.88,0,0,251.25,0,1.4,0,60.13,0,0,0,0,0,0,0,37.85,2.07,0,0,2221.31,2.9,9.47,5.23,0,2.77,0,0,422.81,0,0.73,0,0
 72-82,0,0,0,0,9.66,0,0,168.01,0,0,0,119.09,0,0,0.59,0,0.79,0.96,0,45.66,0,0,0,1357.15,0,13.5,6.33,0,1.81,0,7.39,210.28,0.87,1.6,2.83,0
 84-94,0,0,0.98,0,7.59,5.48,0,133.18,0,0,0,89.92,0,2,0,0,2.32,0,0,23.85,0,1.97,5.57,987.95,0,6.37,7.42,0,1.32,0,0,139.34,6.35,3.07,0.63,2.62
 96-106,0,0,0.61,1.03,20.06,8.11,0,110.4,0,0.69,0,158.69,0,0,1.3,0,0.75,0,0,42.15,0,2.96,1.81,822.46,0,0.59,2.55,0,0.81,0,1.33,40.33,0,0,1.56,0
108-118,0,0,0,0,10.23,3.14,3.92,88.64,0,0,0,137.1,0,0,0,0.51,1.26,0,0,17.26,0.54,0,3.9,897.87,0,19.21,17.54,0,0.77,0,0.62,17.04,0,0.56,1.58,0.92
120,0,0,0,0,4.29,0,0,243.06,0,0,12.97,250.44,0,0,1.52,0,0,0,0,38.92,0,0,1.92,986.65,0,0,3.81,0,0,0,0,10.91,1.54,0,0,14.33
