stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,3.68,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,4.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,43.17,0,0,0,0,0,0,0,41,0,0,0,0
 24-34,0,0,0,0,0,0.78,0,0,0,2.6,0,0,0,0,0,0,0,2.54,0,0,0,279.61,0,6.44,1.16,0,0,0,0,124.88,0,0,0,0
 36-46,0,0,0,1.39,0,7.14,0,0,0,3.9,0,0,0,18.25,0,0,0,1.9,0,0,1.69,594.16,0,0,0,0,0,0,0,246.78,0,0,0,0
 48-58,0,0,0,0,0,23.95,0,0,3.33,22.58,0,0,0,0,0,1.27,0,7.21,0,0,0.42,949,0,2.63,0,0,0,7.95,0,219.75,0,0,0,4.71
 60-70,0,0,0,0,4.55,139.77,0,0,0,26.82,0,0,2.45,0,0,4.62,0,10.52,0.75,0,0,1477.6,0,1.17,0.85,0,1.08,2.3,0,240.46,0,0,0,0
 72-82,0,0,0,3.17,3.68,385.4,0,0,0,63.23,0.54,0.66,1.67,0,0.52,8.73,3.49,20.89,0,0.91,0.76,2299.83,0,6.28,2.68,0,4.01,0,0,249.71,0,0,1.04,0
 84-94,0,0,0,6.73,4.52,349.32,0,0,0,31.12,0,0,0,0,0,9.14,1.15,21.84,0,2.23,1.49,1610.99,2.17,4.64,16.23,0,0,0,0,136.23,0,0,0,0
 96-106,0,0,1.19,10.39,0,570.15,0,0.61,0,78.79,0,0,1.2,0,0,24.03,0,14.24,0,0,0,1439.56,0.62,0.57,17.35,0,0,3.89,0,90.27,0,3.4,2.1,0.75
108-118,0,0,0,9.12,1.33,482.39,0.65,0,0,57.96,0,0,0.48,0,0,6.4,3.94,22.14,0,0,1.54,1840.15,0,1.1,11.92,0,5,2.38,0.46,83.58,0.68,0,2.68,0
120,0,0,0,11.01,4.7,317.15,0,0,0,75.67,0,0,0,0,2.12,6.9,5.59,36.16,0,0,1.47,2208.78,2.33,0,24.26,0,0,2.35,0,78.17,0,0,0,0
