stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,0,0,0,0,4.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06,0,0,1.83,0,0,0,3.71,0,0,0,2.86,0
 24-34,0,0,0,0,0,0.8,0,0,0,12.22,0,0,0,0,0,0,0,0,0,1.21,52.45,0,0,5.49,0,0,1.3,2.39,2.68,0,0,28.53,0
 36-46,0,0,0,0,0,0,0,0,0,38.77,0,0,0,0,0,0,0,0,0,0,69.08,0,0,4.6,0,0,0,0,7.34,0,0,19.9,0
 48-58,0,0,0,1.85,0,4.05,0,0,0,165.31,0,0,0,0,0,0,0,0,0,1.24,57.99,2,0,5.35,0,0,0.52,0,36.97,0,0,21.99,0
 60-70,0,0,0,0.95,0,6.32,0,0,0,671.58,0,2.8,0,0,0,0,1.61,0,0,0,34.56,0,0,0,0,0,4.15,0,54.13,0,0,3.58,0
 72-82,0,0,0,0.78,3.17,88.33,0,1.5,1.56,2014.59,0,0,0,0.83,0,0,4.24,0,0,0,37.78,0,0.9,5.41,0,0,1.25,0,49.76,2.98,0,21.17,0
 84-94,0,0,0,5.67,0,72.32,0,0,0,1706.11,0.68,1.22,0,0,0,0,9.33,0,0,1.01,53.05,0,0,3.07,0,0,2.15,0,71.01,0,0,11.94,0
 96-106,0,0,0,20.01,1.3,85.99,0.87,0,2.3,2743.17,2.2,0,3.17,0.77,15.3,0.58,3.71,0,0,0.76,132.82,0,0,7.12,0,0.59,0.73,0,30.41,0,1.82,10.56,2.56
108-118,0,0,0.61,0,0,34.02,0,0,0,2641.68,0,1.57,0,4.59,0,0,6,1.14,1.77,0,52.95,13.27,0,2.61,2.83,0.5,0,0,38.91,0,0.9,11.4,0
120,0,0,0,1.72,0,129.48,0,0,0,2130.12,9.08,2.35,0,0,0,0,0,0,0,0,75.06,0,0,4.42,0,0,0,0,21.63,0,0,11.72,0
