stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,124.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,190.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.53,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.39,12.6,0,0,62.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,42.16,0,4.95,0,3.77,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,246.29,0,0,0,12.75,0,0,7.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.94,2.8,2.04,0,0.83,0,0,0,0,2.3,0,0,0,0,0,0,0,4.28,0,0,3.56,50.1,0.95,0,0,0,1.03,10.84,0,0,6.49,20.24,0,0,0,0,0
 24-34,0,0,0.67,0,2.03,0.78,0,6.01,0,0.7,0,0,0.67,0,0,0,1.23,0,0,0,2.45,0,0,9.89,61.24,0,0,0,0,6.04,0,0,0,0.69,8.99,0,0,0.81,0,0
 36-46,0,0,0.98,0,0,0,0,6.72,0,0,0,1.38,0,0,0,0,1.15,0,0,0,1.68,0,0,0.83,27.06,0,0,0,0,1.65,0,0,0,0,4.58,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,9.13,0,0,0.45,2.75,0,0,0,1.77,0,0,0,0,1.36,0,14.36,0,21.21,0,0,0,0,0.92,0,0,0,0,1.91,0,0,0,0,0
 60-70,0,0,0,0,1.4,0,0,19.66,0.66,1.18,0,4.7,0,0,0,0,0,0,0,0,3.52,0,0,1.71,13.6,0,0,0,0,7.63,0,0,0,0,13.91,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,28.49,0,0,0,7.49,1.27,0,0.7,0,0,0,0,1.07,27.42,0,0,1.8,22.41,0,0,0,0,3.63,0,0,0,0,4.4,0.91,0,1.05,0,0
 84-94,0,0,0,0,2.49,11.04,0,41.43,0,0,0,2.82,0,0,1.22,0.69,1.69,0,0.67,0,4.06,0.76,3.74,0,9.23,0,0,1.74,0,8.27,0,0,0,0,0,0.78,0,2.72,0,0
 96-106,0,0,0,0,1.61,0,0,30.94,0,0,0,6.4,0,0,0,0.78,0.9,0,1.48,0,4.86,4.41,1.84,0,22.46,0.73,0,0,0,6.58,0,0,0,0,0,0,0,1.49,0.59,1.09
108-118,0,0,0.76,0,4.2,4.98,2.3,36.22,0,0,0,4.14,0,0,0,0.8,0.44,1.03,0,0,8.18,1.47,2.14,1.11,20.31,0,2,0,0,5.3,0,0,0.42,0,3.23,0,1.81,0.59,4,0
120,0,0,0,0,0,7.35,0,13.98,0,0,0,9.2,0,0,0,0,0,0,0,2.99,1.74,5.62,0,0,54.01,0,0,0,0,14.53,0,1.62,0,0,0,0,0,0,0,0
