stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,4.62,0,0,0,0
 14-21,0,0,1.73,0,0,0,0,2.41,0,0,0,0
 24-34,0,0.81,0,0,1.29,1.21,0.78,40.36,0,0.63,6.03,0.73
 36-46,0,0,4.67,0,0,0,0,15.12,0,0,1.61,0
 48-58,0.85,0,6.76,1.12,0,2.32,0,2.45,2.29,0,0.64,0
 60-70,0,0,4.17,8.26,0,1.62,2.15,5.52,0,0,1.63,0
 72-82,0,0,0,0,0,1.5,0,0,0,0,0,0
 84-94,0,0,1.47,0,0,2.38,0.56,5.46,0,0,0,0
 96-106,0,0,0,0,0,1.57,0,0.95,0,0,0,0
108-118,0,0,0,0.86,0,0.68,0,0.88,0,0,0,0
120,0,0,0,1.68,0,0,0,22.67,0,0,0,0
