stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,0,0,0
 14-21,0,8.22,0,0,55.24,0,0,0,0,0,0,1.69,0,0,0,0.87,0,0
 24-34,0,9.51,0,0,400.42,0,0,0.59,0,0.79,0,2.4,0,0,0,0.67,0,0
 36-46,0,5.87,0,0,126.05,0,0,0,0,0,0,1.23,0,0.92,0,1.21,0,0
 48-58,0,8.53,0,0,84.74,0,0,0,0,1.63,0,8.66,0,0,0,1.4,0,0
 60-70,0,3.31,0,0,51.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.47,0,0.66,48.9,0,0,0,0,0,0.61,0.94,0,0,0,0,0,0
 84-94,0,1.55,0,0,52.04,0,0,0,0,0,1.65,1.18,0,0,0,0,0,0
 96-106,0,5.17,3.01,0,106.37,0,0,0,3.32,0,0,2.92,0,0,0,0,0,1
108-118,0,0,0,0.93,111.52,1.73,0,0,0,0,0,4.02,0,0,0.54,0,0.72,0
120,0,5.22,0,0,54.36,0,1.19,0,0,0,0,0,0,0,0,0,2.25,0
