stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,3.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,55.95,10.59,0,0,156.73,0,0,0,3.38,0,0,0,0,0,0
 14-21,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,10.52,11.16,0,5.52,52.4,0,0,32.43,0.87,0,2.65,3.07,0,0,0
 24-34,0,0,54.09,0,6.92,0.88,0,0,0,0,0,0,0,0.81,0,12.96,2.29,0,0,0,0,0.79,0,2.5,0,1.24,2.24,0,0,0
 36-46,0,0,69.36,4,41.38,2.29,0,0,8.67,0,0,0,2.09,0.68,0,10.44,0,0,0,0,0,0,0,4.51,0,0,3.73,0,0,0
 48-58,0,0,81.02,2.34,58.19,0.73,0,0,0,0,0,0,12.09,0,0,21,0,0.86,0,0,0,0,0,2.74,0,0,5.09,0,0,0
 60-70,0,0,80.73,6.62,40.03,0.58,0,0,0,0,0,0.72,22.52,3.03,0,40.92,0,1.12,0,0,0,0,0,0,0,0,10.22,0,0,0
 72-82,0,0,37.66,17.12,43.83,1.64,0.65,0,0,0,0,0,58.8,0.56,2.05,53.79,0,6.57,2.97,0,0,0,0,1.63,0,0,16.01,0,0,0
 84-94,0,0,91.29,6.69,81.58,0.72,1.73,0,0,0,0,0,51.62,0,1.66,17.9,0.94,2.39,0,0,0,0.55,0,0,0,0,0.77,0,0,0
 96-106,0,0,105.3,18.06,66.82,1.06,0.64,0.95,0,0,0,0,94.41,0,6.44,43.65,1.15,0.59,0,0,0,9.46,0,1.57,0.7,0,2.07,0,0,0
108-118,0,0,152.33,7.42,112.81,2.32,0.49,0,1.14,0.78,4.07,0,55.26,7.12,3.2,28.22,0,4.73,1.82,0,1.52,0,0,0.61,0,0,3.81,0,0,0.54
120,0,0,228.97,0,95.57,0,1.33,0,0,0,3.16,0,104.06,1.63,8.68,46.93,0,1.32,17.15,0,0,0,0,1.23,0,0,0,1.52,1.33,2.66
