stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,1.78,0,0,0,0,0,0,656.99,41.67,0.84,0,0,0,0
 24-34,0,0,0,0,15.94,34.67,0.62,0,0.76,0,0,0.76,2.67,0,0,0,0,3.27,0,26.07,37.38,1.64,0,0,1.43,0,0,249.42,89.14,1.67,0,3.34,0,0
 36-46,0,0,0,0,1.14,76.66,0.68,0,3.48,0,0,0,0,0,0,0,0,4.19,0,40.02,36.64,1.01,0,0,2.52,5.49,7.4,147.67,5.22,9.38,0,0,0,0
 48-58,0,0,0.37,0,6.43,73.64,0,0,0.83,0,0,0,0,0,0,0,1.03,9.21,0,4.85,49.13,0,0,0,0,0,0,39.19,0,10.65,0,1.13,0,0
 60-70,0,0,0,0,10.92,38.52,0,0,0,0,1.71,0,0,0,0,0,0,2.48,0,18.31,21.65,0,4.77,0,0,0,0,25.33,0,0,0,8.01,0,3.85
 72-82,0,0,0.64,0,8.17,52.11,0,0,1.77,0,0,0,0,0,0,0,0,5.5,0,20.72,25.13,0,0,0,1.22,0,1.24,14.44,0,4.03,1.46,1.32,0,6.33
 84-94,0,0.64,0,0,0.68,65.17,0.6,0,15.07,0,0,0,1.11,0,0,0,0,19.95,0.61,12.86,54.48,0,5.97,0,6.8,0,0,32.36,0,0,4.91,0,0.91,0
 96-106,0.95,3.53,4.14,0,53.46,148.35,1.7,2.14,14.99,4.42,0,0,0,0.97,0,15.06,0,25.03,3.28,22.82,75.44,1.54,5.84,0,7.94,0,0,24.68,0,1.03,0,15.11,0,4.47
108-118,0,6.33,2.06,7.98,58.79,178.5,0,0,3.66,0.8,0,0,3.89,0,0,0,0,6.76,0,41.05,60.32,0,0,2.35,4.95,0,0,37.66,0,1.22,0,1.93,0,0
120,0,8.6,0,0,13.22,155.67,0,0,4.5,0,0,0,0,0,10.08,0,0,36.07,0,20,51.82,0,0,0,0,0,0,5.12,0,4.36,0,0,13.75,0
