stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,1266.24,31854.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.08,0,0,0
  5-6,469.61,10285.24,0,0,0,0,0,0,0,0,0,407.81,17.23,0,28.78,133.05,0,0,0
  7-9,3.82,4.3,10.73,0,24.77,0,5.09,0,0,0,0,334.65,9.62,0,101.52,0,328.31,0,0
 10-12,0,0,19.11,0,3.55,0,4.68,0,0,0,0,94.71,0,0,26.82,0,83.44,0,0
 14-21,0,0,0,0,0,0,0,2.44,0,0,0,11.62,0,0,0,4.03,6.01,1.85,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,2.65,0,0,0,0,0,1.66,0
 36-46,0,0,0,0,0.8,1.02,0,0,0,0,0,21.45,0,1.13,0,0,0,6.8,0
 48-58,0,0,0,0,2.69,1.01,0,13.52,0,0,0,3.14,0,0,0,0,0,0,0
 60-70,0,0,0,0,5.8,0,0,27.51,0,0,0,16.01,0,0,0,0,0,1.59,0
 72-82,0,0,0,0,11.17,0,0,27.98,0,0,0,18.48,0,0,0,0,0,2.06,0
 84-94,0,0,0,0,0,1.67,0,25.28,0.6,0.78,0,0,0,0,0,0,0,0,0.69
 96-106,0,0,0,3.3,1.03,0,0,29.08,0,3.91,1.7,0,0,0,0,3.01,0,0,0
108-118,0,0,0.74,0,0.57,0,0,27.32,0,1.81,0,9.26,0,0,0,1.06,0,0,0.43
120,0,0,0,0,0,0,0,93.43,0,0,0,0,0,0,0,0,0,0,4.7
