stage,epidermis,fin_epithelia,ionocyte,periderm
 48-58,0,0,0,2.29
 72-82,0,0,0,1.44
 84-94,0,0,0,0.86
 96-106,0,0,0,1.06
108-118,0.46,0.48,0.47,3.79
