stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.09,0,0,0,0,21.73,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,24.32,0,11.55,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.77,0,0,0,70.96,0,7.53,0,0,95.32,0,0,0,0,0,0,0,0
 14-21,0,1.36,0.95,0,764.35,0.87,0,0,1.15,5.03,0,15.06,15.53,0,0,0,0,10.51,0,0,6.23,20.78,1.86,0,0,13.53,0,0.92,1.53,18.01,23.36,1.91,9.73,9.98,0,0,245.36,0,0
 24-34,0,0,0,1.15,80.01,3.99,0,2.28,2.04,0.66,0,55.36,47.8,2.08,4.54,0,0,24.65,0,0,6.03,106.62,0,0,0,0,0,6.1,0,0,3.07,0,6.1,6.15,0,0,957.7,0,0
 36-46,0,0,0,3.59,12.83,2.53,0,4.96,1.29,0,0,27.83,53.88,0,3.72,0,3.96,21.4,0.95,0,0,106.55,0,0,0,0,0,2.63,0.78,0,0,0,0,8.39,0,0,546.41,0,0
 48-58,0.77,0,0,9.2,6.56,9.04,5.9,2.33,0.61,0,0,54.04,61.69,0,0,0,0,22.83,1.91,1.54,1.78,84.07,0,0.44,0,0,0,2.26,0,0,0,0,0,3.52,0,0.4,507.27,0,3.71
 60-70,0,0,0,2.52,22.43,6.49,0,4.55,1.99,0.95,0,57.76,69.99,0,0,0,0,44.43,0,1.82,1.61,39.28,0,0.6,0,0,0,3.89,0,0,7.75,0,0,0.61,0.81,2.56,364.65,2.53,0
 72-82,0,0,0,4.83,19.85,23.21,0,1.51,0.65,4.45,0,47.73,104.05,1.4,0,0,0.62,41.99,0,2.22,4.68,76.88,0,0,0,0,5.64,1.39,0,0,0,0,0,0,3.92,1.23,725.73,3.63,1.89
 84-94,0,0,0,5.64,1.22,8.81,0,2.16,8.53,0.69,0,30.08,73.33,0,0,2.59,0,35.46,0,1.08,5.33,34.35,0,0,0.79,0,2.91,0.72,0,0,0,0,0,9.85,11.07,1.55,594.59,0.82,0
 96-106,0,0,0,12.32,30.73,15.3,0,5.12,25.31,0,0,42.11,108.25,0,0,0,1.45,27.67,0,4.02,0,32.13,0,0,0.71,0,7.65,15.45,2.06,0,1.71,0,0,1.35,8.86,0,643.85,2.11,0
108-118,0,0,0,15.28,7.19,14.01,0.57,6.22,5.77,1.29,0,24.1,100.2,3.32,0,0,3.54,39.24,0,0,0,22.87,0,4.31,0.79,0,2.44,8.23,0,0,1.29,0,0,1.17,10.04,0,582.97,1.44,0
120,0,0,0,28.63,19.44,35.41,5.66,0,0,0,0,36.75,121.89,0,0,0,0,23.24,0,2.35,0,47.71,0,3.8,0,0,0,12.53,0,0,0,0,0,0,5.98,0,693.49,0,0
