stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,187.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05,0,0,0,0,0,0,0.87,0,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0.99,136.77,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0
 36-46,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,257.04,0,0,2.33,0,0,0.81,0,0,35.18,0,0,0,0,0
 48-58,0,0,0,0,0,75.17,0,0,2.06,0,0,1.42,0,0,0,0,0.49,0,0.38,269.86,0,0,0,0,0,0,0,0,65.57,0,0,0,0,0
 60-70,0,0,0,0,0,1376.8,0,10.87,12.55,0,0,0.84,0,0,0,0,6.94,0,0,434.76,0,0,0,0,0,0,0,0,55.91,0,4.5,0,0,0
 72-82,0,0,2.1,0,0,3289.36,0,0,36.41,0,0,1.03,0,0,0,0,24.51,0,0.75,634.78,0,0,0.99,0,2.1,0,0,0,61.57,0,0,1.31,0.76,3.9
 84-94,0,0,4.76,0,0,2186.88,0.74,0,43.87,2.28,0,0.57,0.56,0,0,0,12.37,8.84,0,457.15,0,0,0,0,0,0,0,0,45.88,0,0,0.78,1.16,8.71
 96-106,0,0,6.64,0,0,3306.68,0.58,0,61.28,0,1.61,5.74,0,0.81,14.67,7.73,31.31,0,1.11,504.06,1.05,1.31,5.99,0,0,0,0,0,27.28,6.85,3.26,0,2.17,16.3
108-118,0,0,19.49,2.39,0,2243.1,1.19,0,31.11,0.43,0,0.56,1.68,5.37,0,0,25.94,0,1.64,523.58,0.69,0.97,1.76,0,3.92,0,0,1.9,26.04,0,0,0,0.97,0
120,0,0,32.06,0,1.8,1271.67,0,0,34.75,0,0,0,0,0,0,0,23.97,5.31,0,715.91,0,5.12,1.05,0,0,0,0,0,17.96,1.81,0,0,0,0
