stage,blastomeres,eye,fast.muscle,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,18.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.31,0.82,0,2.31,0,1.24,0,0
 24-34,0,0.81,0,0,1.95,1.16,0,0,0,0,8.43,0,0,0,0.67,0,0,0
 36-46,0,0,0,0,0,0.65,0,9.57,0.66,0,8.2,0,0,0,0,0.85,0,1.47
 48-58,0,0,0,1.33,0,0,0,0,0.51,0,5.76,0,0,0,0,0,0,6.57
 60-70,0,0,0.65,0,0,0,0,0,0,0,7.72,0,0.97,0,0,0,0,0
 72-82,0,0,0,0.55,0,0,0,0,0,0.63,12.39,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.29,9.85,0,0,0,0,0,0.6,0
 96-106,0,0.81,0,0,0,0.67,0.99,0,0,0,13.81,0,0,0,0,0.9,0,0
108-118,0,2.12,0,0,0,0,0,0.47,0,0,10.95,0,0,0,0,0,0,0
120,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
