stage,endoderm,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0.81,0,1.77,0,0,0,0,0,0
 24-34,0,0.76,0.85,0,0,0,0,0,0,0,0,4.59,0,1.33,0,0,7.18,0
 36-46,0.84,0,0,0,0,0,0,0,0,0,0,2.81,0,0,2.72,0,5.02,0
 48-58,0,6.25,0.92,2.28,0,0,0,0,0,0,0,2.37,0,0.39,0.54,0,3.42,0
 60-70,0,1.43,0,0,0,0.61,0,0,0.71,3.15,0,0.66,0,0,0,0,4.7,0
 72-82,0,0.75,1.7,0.74,0,0,0,0.51,0,4.26,0,1.84,0.89,0,1.95,1.08,1.33,0.67
 84-94,0,2.04,0.62,4.18,0.69,0,0,0.81,0,4.67,0,1.17,0,0,3.38,0,0,0
 96-106,0,4.16,0,3.19,0,0,0,2.33,3.42,4.07,0,9.79,0,1.99,1.75,0,1.15,0
108-118,0,6.69,1.14,2.9,3.1,0,0.51,0,0,5.98,0.71,5.87,0.59,0,0.45,0,0,2.47
120,0,1.39,0,0,0,1.65,0,0,0,0,0,2.86,0,1.26,0,0,0,0
