stage,eye,fast.muscle,immune,mesenchyme,neural,spinal.cord
 24-34,0,0,0,0,0.99,0
 36-46,0,1.51,0,0,1.17,0
 48-58,0.8,0,0,0,1.36,0.74
 72-82,0,0,0,0.55,0,0
 84-94,0,0,0,0,1.16,0
 96-106,0,0,1,0,3.49,0
108-118,1.06,0.43,0,0,0,0
120,0,0,0,0,0,3.29
