stage,eye,fin_epithelia,fin_mesenchyme,immune,mesenchyme,mural_cell,neural,pericytes,vascular_smooth_muscle,xanthophores
 48-58,0,0,0,2.32,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.19,0
 72-82,0,0,0,0,2.68,2.84,0,2.24,0,0
 84-94,1.02,0,0,0,0,4.08,0,0,0,0
 96-106,1.14,0,7.08,0.99,7.06,10.92,0,1.51,0,0
108-118,0,0,0,0,9.79,3.41,2.77,4.12,0,3.31
120,0,1.49,0,0,25.73,0,0,0,0,0
