stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,20.86,165.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,3.01,0,0,0,0,1.36
 24-34,0,0,0,1.31,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,4.67
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.63,0,0,5.48,1.42,0,1.55,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.4,0,0,0,4.8,0,0,0,3.93,0.55,1.09,3.38,1.36,0,3.97,0,1.13,0,0,4.66
 60-70,0,0,0,0,0,2.07,0,0,0,0,0,17.58,0,0,0,1.37,0,0,5.98,4.45,0,0,0,0.79,0,0,3.35
 72-82,0,0,0,0,0,0.67,0,0,0,0,1.53,6.98,0,0,0,0.78,0,0,29.57,5.16,0,0,0,2.93,0,0,4.55
 84-94,0,0,0,0.55,1.41,2.46,0,2.61,0.69,1.71,0,22.66,0.8,0,0,5.22,0,0,13.02,0,0,0,0,0,0,0,0.97
 96-106,0,0,0,1.26,0,2.26,0,0,0,2.79,0,13.2,0.81,0,0,4.7,0,0,19.1,3.77,0.6,3.25,0,2.7,0,0,9.35
108-118,0,0,0.71,0,0,4.05,0,0,0,0.52,0,23.7,0.44,0.85,0,5.09,0.79,0.54,26.51,2.18,1.09,3.59,0,0,2.39,1.14,9.15
120,0,0,0,18.98,0,0,1.31,0,0,2.52,0,15.27,0,0,1.05,1.59,0,0,66.5,1.15,0,1.89,0,0,0,0,5.57
