stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,58.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.01,406.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,48.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,88.05,0,0,0,0,0,0,1.09,0,0,0,0,0,0,9.57,0,0,13.9,5.11,37.82,0,0,1.18,0,0,0,0,229.9,35.1,2.03,0,0,0,0,0
 24-34,0,0,0,0.76,14.83,0,0,553.64,742.78,0,0,1.64,0.64,0,5.18,0,0.62,3.05,0,0,0,48.3,2.16,0,225.13,363.7,51.35,7.56,1.11,0,0,21.46,3.08,0,1042.66,255.21,38.41,0,0,7.03,0,1.12
 36-46,0,0,0,0,4,0,0,792.85,1772.82,0,1.17,13.17,0,0,3.25,0,2.07,53.67,0,0,2.23,101.67,0.87,2.22,222.33,310.85,75.7,1.69,12.5,0,0,15.93,0,3.56,1483.74,51.93,47,0,0,13.56,0,7.48
 48-58,0,0,0,0,19.17,0.69,0,580.92,1398.2,0,10.23,14.94,0,1.12,0,0.64,0,142.54,0,4.35,19.36,68.06,0,4.37,158.09,308.15,72.69,0.5,1.28,4.77,0,5.67,0,0.52,1016.23,0,71.86,0,0,8.34,0.81,22.21
 60-70,0,0,0,0,23.59,0.77,0,464.31,891.32,0,14.21,20.55,4.04,1.56,9.25,0.76,0.62,418.85,0,0,1.96,60.47,0,12.77,129.8,306.91,70.79,1.55,0,5.67,1.23,5.06,0,0,672.99,0,41.69,0,0.99,32.44,1.15,24.16
 72-82,0,0,0,0,4.55,3.9,0,370.56,573.27,1.34,31.83,21.39,1.04,0.74,0.53,0,1.09,362.62,1.55,9.13,8.19,46.33,1.6,7.39,156.68,252.23,6.87,2.83,4.79,10.77,1.82,8.55,0,0,336.12,0,23.42,1.21,0.75,10.7,5.14,10.57
 84-94,0,0,3.88,0,9.4,38.66,0,449.23,955.13,2.47,16.56,25.44,8.83,0,3.07,3.54,0,658.61,0,2.03,7.73,84.83,0,25.86,120.38,223.7,9.11,5.73,2.24,0,2.93,16.87,0,1.79,474.73,0,26.6,1.01,2.64,9.11,9.6,17.91
 96-106,0,0,1.86,0,16.4,75.98,17.28,426.45,1294.58,6.46,21.68,52.51,11.96,0,14.32,9.55,2.22,592.67,5.29,17.7,4.7,155.32,16.57,20.58,141.35,361.07,14.34,10.36,0,10.84,0,51.84,0,1.63,481.33,0,24.83,1.59,4.17,30.43,17.69,9.75
108-118,0,0,3.86,0,28.99,28.45,5.35,406.23,1256.51,3.56,27.53,50.85,20.99,0,8.81,9.62,0.89,989.32,0,14.34,16.58,184.75,2.33,34.68,228,255.91,41.08,0,1.77,0,13.45,20.05,0,0,432.09,0,4.55,2.36,4.19,19.46,7.43,41.25
120,0,0,0,0,22.02,1.96,3.69,383.09,781.74,0,56.91,22.69,23.74,0,11.07,0,0,612.89,0,6.87,12.45,116.56,0,32.07,347.64,187.93,2.65,0,4.59,0,43.57,40.54,2.24,0,224.82,0,0,0,2.15,11.22,14.78,0
