stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,344.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.27,618.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.19,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,40.11,0,21.34,0,0,0,109.18,0,0,0,0,47.21,0,0,0,0,0,0,0,0,0,686.25,26.64,0,0,234.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.31,0,35.11,0,0,0,63.95,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,505.94,19.22,0,0,187.58,0,0,0,34.33,0,0,0,0,0,0,0
 14-21,2.31,0,0,1.07,74.95,10.81,0,15.47,0,0,9.18,4.73,1.19,1.15,0,2.59,0,1.86,2.77,27.56,0,8.53,143.14,2.31,1.8,27.19,11.98,0,3.18,50.59,11.36,28.33,81.57,0,0,0,0,0.84
 24-34,0,0,0,0.6,17.13,0.76,0,9.52,0.83,0,10.73,0,0,0,0,0,0.82,1.28,0.65,12.94,0,5.92,72.48,0,0,6.9,0,0,7.29,0,1.23,5.62,16.16,0,0,0.6,0,0
 36-46,0,0,0,0,19.86,0,0,5.17,12,0,0.77,0,0,0,0,0,0,1.42,0,9.95,0,6.33,18.69,0,1.41,7.51,0,0,9.18,0,7.43,0,11.39,0,0,4.53,0,0
 48-58,0,0,0,0,3.8,0,0,30.51,1.47,0,0.69,0,0,0,0,0,0,3.03,1.44,6.1,0.41,2.5,11.09,0,5.01,5.22,0,0,4.22,0,0,0,6.44,0,0,1.24,0,0
 60-70,0,0,0,0,29.94,0,0,10.28,0,0,3.45,2.65,0,0,0,0,0,0,1.35,7.31,0,0,10.31,0,2.83,5.62,0,0,8.86,0,0.73,0,1.19,0,1.61,0,0,2.21
 72-82,0,0,0,0,18.79,0,0,16.54,1.31,0.55,0.67,1.1,0,1.16,0,0.58,0,0.61,0,10.5,3.24,2.1,4.68,0,0.67,3.2,0,1.1,1.14,0,1.82,0,0,1.58,0,1.01,1.04,0
 84-94,0,0,1.96,2.02,10.77,0,1.95,11.52,1.27,3.72,5.77,2.03,0,0.88,0,0,1.32,1.47,1.55,16.71,0,5.55,10.63,0,2.94,9.92,0,0,1.98,0,2.54,0,6.64,2.15,3.2,2.85,0.82,0
 96-106,0,0,4.5,0,16.68,9.17,0.8,13.03,0,1.63,9.79,6.14,0,0.68,0,0.95,0,3.6,0.59,10.76,0,0,8,0,5.11,11.07,0,0,3.61,0,3.84,0,0.95,0,0,1.74,0.82,0
108-118,0,0,0.62,0.59,17.81,0,0.52,11.18,0.99,0,5.8,4.74,0,0,1.62,0.75,0,0.47,5.69,10.94,4.1,0.46,4.53,0.51,2.02,6.81,0,0,6.09,0,2.83,0,0.78,1.22,0,0.47,1.19,0
120,0,0,0,0,11.87,0,0,1.4,0,0,0,1.26,0,0,0,0,0,1.74,0,4.72,0,4.59,6.98,0,0,4.94,0,0,1.03,0,1.12,0,0,0,0,9.8,1.59,0
