stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,23.2,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.08,0,3.43,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,37.25,0,7.57,0,0,0,0,0
 10-12,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,55.09,0,0,0,38.92,0,12.41,0,34.93,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,2.14,1.79,0,0,0,0,25.3,0.96,0,7.94,2.96,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,26.59,0,0,0,0.86,0
 36-46,0,0,0,22.92,0.75,0,0,0,0,0,0.61,0,0,0,0,0.94,0,0,0,0,0,68.27,0,0,0,0.84,0
 48-58,0,0,0,3.41,2.13,0,0,0,0,0,0,0.85,0,0,0.4,5.92,0,1.01,0,0,0,94.44,0,0,0,0,0.42
 60-70,0,0,0,5.86,0,0,1.21,0,0,0,0,0,2.63,0,0,12.55,0,0,0,0,0,69.01,0,0,0,1.25,0
 72-82,0,0,0,4.21,4.78,2.65,3.86,0,1.22,0,0,3.88,0,0,0,34.26,0,1.49,0.56,0,0,200.73,0,0,0,5.42,0
 84-94,0,0,0,15.29,0,0,3.16,0,7.28,0,0,0,3.7,0.82,0,7.56,0,0,2.48,0,0,500,0,0,0,0,0
 96-106,0,0,0,7.27,5.23,0,4.98,0,5.35,9.97,0,4.85,7.46,0,0,29.84,0,0,0,0,0,541.66,0,0,0,0,0
108-118,0,0,0,17.91,0,0,6.65,2.77,7.61,0,0,1.63,8.07,0,0,4.38,0,0,0,0,0,372.99,0,0,0,0,0
120,0,0,0,38.62,6.07,0,2.9,0,1.77,0,0,3.04,5.16,0,0,12.21,0,0,0,0,19.53,419.08,0,0,0,0,0
