stage,eye,glial,iridophores,mesenchyme,neural,olfactory,spinal_cord
 24-34,0,0,0,0,1.56,0,0
 36-46,0,0,0,0,3.23,0,0
 48-58,0,0.8,0,0,5.97,0,2.38
 60-70,0,0.94,0,0,0.9,0,0
 72-82,0,0,0,0,0,0.75,0
 84-94,5.85,0,0.67,0,0,0,0
120,0,0,0,7.7,0,3.86,0
