stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.51,174.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0
  5-6,0,114.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.58,16.71,0,312.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,441.35,11.74,0,0,339.68,0,0,0,148.59,0,3.24,0,0,0,0,0
 14-21,0,0,0,194.14,687.96,6.92,0,11.37,0,75.54,6.56,0,44.15,0,0,0,1.33,0,0,76.61,0,0,267.89,530.45,20.45,18.06,26.43,103.77,0,0,92.59,2.38,5.74,316.11,430.68,0,296.2,0,0
 24-34,0,0.83,0,23.04,47.14,25,0,10.56,3.66,121.15,0,1.4,17.06,0,15.17,0,4.03,0,0,95.51,3.71,0,165.5,1164.49,4.41,68.22,2.24,0,0,0,4.62,0,0,43.76,318.69,0,501.73,0,4.72
 36-46,0,0,0,4.19,0,22.99,0.68,4.9,1.5,164.89,0,0,4.64,0,7.59,0,1.23,0.67,1.09,106.66,0,0,53.31,633.2,2.43,20.32,3.5,0,0,0,0,0,0,0,133.97,0,146.61,0,0
 48-58,0,0,0,1.83,5.2,69.51,0,1.62,0.45,184.11,0,0,24.66,0.5,28.76,0,3.26,0.87,0,93.52,2.55,0.98,46.27,401.81,0.79,8.2,4.89,0,0.97,0,0,0,0,0,152.33,2.85,101.24,0,6.25
 60-70,0,0,0,10.92,0,82.22,0,0,0,260.96,0,0,18.25,0,3.44,0,5.14,0,0,100.74,3.19,0.88,61.14,225.99,0,1.51,7.5,0,9.99,0,0,0,0,0,88.51,5.36,31.55,0,8.91
 72-82,0,0,0,3.34,0,82.65,0,0,0,443.86,0,0,40.49,0,16.49,2.79,1.28,0,0,108,0.51,5.86,67.32,103.43,0,0.88,4.18,0,18.31,0,0,0,0,0,48.26,30.73,85.85,0.67,7.83
 84-94,0,0,0,3.91,0,133.99,0.68,0,0,396.7,0,0,9.17,0.84,49.29,4.64,4.59,0,4.83,93.83,0.65,15.19,72.7,120.95,0,2.11,12.56,0,42.47,1.24,0,0,0,0,20.09,24.96,74.06,2.45,0
 96-106,0,0,0,14.23,0,77.42,0,0.98,2.12,498.93,3.12,0,18.76,0,92.16,2.39,1.89,0,0,87.19,1.35,9.77,64.68,137.28,0,5.99,4.35,0,53.42,0.63,0,0.71,0,0,38.69,21.94,107.48,0,11.3
108-118,0,0,0,11.94,5.67,77.99,0,0,2.42,491.06,1.19,0,10.28,0,67.12,0,6.59,1.21,0.66,71.09,1.5,12.53,72.29,183.88,2.37,3.6,29.68,0,34.58,2.7,0,0,0,0,29.56,19.21,72.64,0,20.18
120,0,0,0,20.75,0,71.95,0,0,3.99,969.82,0,0,29.03,0,31.2,0,4.88,0,0,66.69,3.12,18,39.7,122.93,0,0,25.02,0,0,2.73,0,0,0,0,13.8,44.04,115.3,0,18.04
