stage,endocrine_pancreas,epidermis,eye,fast_muscle,heart,immune,liver,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0
 24-34,0,1.78,0,0,0,0,0,5.34,1.94,6.79,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,1.43,0,0,0,2.27,0,0
 60-70,0,0,1.07,0,0,0,0,0,0,0,2.93,0,0,0
 72-82,1.09,0.69,1.76,0,0,0.65,0,1.21,0,2.91,0,0,0,0.99
 84-94,0,2.18,0.63,0,0,0,0,1.88,0,2.54,0,0,0,0
108-118,0,0.48,0,0,0.83,0,0,2.89,0,0.6,0,0,1.97,0
120,0,0,0,0,0,0,1.14,8.89,0,0,0,0,0,0
