stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste
  3-4,61.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.27,0,0,0,0,5.4,0,0,0,0,0,0,0
 14-21,0,1.38,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,19.38,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,74.96,0,0,0,0,0,21,0
 36-46,0,0,0,0,2.53,0,0,0,0,0,0,0,0,172.37,0,0,0,0,1.49,52.57,0
 48-58,0,0,0.7,0,25.43,0,0,0.48,0,0,0.38,0,0,327.46,0.42,0,0,0,5.59,37.26,0
 60-70,0,0,0,0,151.47,0,0,3.76,0,0,0,0,0,483.49,0,0,0,0,0,65.9,0
 72-82,0,0,2.41,0,216.22,0,3.22,2.44,0,0,0,0.6,0,595.2,0,0,0,0,2.17,15.7,0.92
 84-94,0,0,1.11,0,134.7,0,0,8.72,0,1.27,0,0.75,1.93,374.38,0.71,0,0,0,0.97,28.71,0
 96-106,0,0,0,0,172.23,1,0,1.49,0,0,0,1.66,0,320.54,0,0.56,0,0,0,6.93,0
108-118,0,0,0,0,124.34,0,0,2.14,0,0,0,3.06,0,305.15,0,0,0,4.16,0,2.35,0.68
120,0,0,0,6.93,52.14,0,0,3.24,0,0,0,11.23,0,397.64,0,0,0,2.63,0,14.14,0
