stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.46,898.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.32,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.8,174.87,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.09,0,0,15.17,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,142.42,6.45,0,0,30.67,0,0,6.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.58,0,29.54,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,204.59,14.79,0,0,162.18,0,0,0,0,15.05,0,5.88,0,0,0,0,0,0
 14-21,0,0,0,5.15,7.44,0,3.12,0,0,0,3.21,1.08,0,0,0,0,0,0,0,4.08,0,0,15.58,90.5,1.82,0,0,0,0,0,0,29.28,4.96,141.33,162.02,32.56,0,0,1,0,0
 24-34,0,0,0,3.42,2.38,1.02,14.28,2.99,0.62,0.8,2.15,1.22,0,4.75,9.54,1.17,0,0.64,0,28.38,0,0,16.58,218.93,2.5,3.76,0.76,0,0,1.31,0,0,1.49,29.37,57.63,65.61,0,0,5.4,0,0.71
 36-46,0,0,0,0,4.12,0,12.84,15.38,0,3.09,6.92,0,0,1.05,14.77,0.85,0,0,2.27,30.65,0,0,6.96,208.89,0.62,4.14,0,0,0,2.06,0,0,6.07,24.55,3.33,69.39,0,0,0,0,22.13
 48-58,0,0,0.46,0,1.79,3.3,15.22,8.07,2.33,0,10.98,0.49,0,0.58,12.73,0,0,0,7.28,33.15,0,0,8.88,258.29,0,0.48,0,0,0,0,0,0,0,16.74,0,63.93,0,0,2,0,93.03
 60-70,0,0,0.89,0,5.13,7.33,56.09,11.01,4.13,2.06,13.88,0,0,0.76,60.34,0,0,0,6.83,62.84,0,1.33,10.97,391,0,0,2.93,0.81,0,3.79,0,0,0.59,7.74,0,79.61,0,0.73,0,0,131.12
 72-82,0,0,0,0,5.15,25.81,231.42,5.06,0,7.35,26.73,6.23,0,0,42.68,0.66,0.59,1.53,0.5,83.3,0,2.53,6.98,464.32,0,3.72,0.62,0,0.83,3.29,0,0,0,0,0,119.31,0,1.57,2.79,1.22,246.85
 84-94,0,0,0,0,5.54,14.04,211.95,4.23,3.15,7.47,21.25,6.22,0,0,109.62,3.46,3.34,0,0.96,63.41,0.91,6.3,2.22,295.52,1.49,0.58,8.34,0,0,0.93,0,0,1.04,11.98,0,65.76,0,3.56,3.57,0.77,286.27
 96-106,0,0,0,0,0.7,15.55,221.3,2.83,2.37,3.29,35.19,9.01,0,0,95.9,0.86,0,0,0,67.76,0,2.19,6.2,293.4,0,4.82,2.51,0,0,2.89,0,0,0.63,5.8,0,55,0,3.54,14.65,0.97,346.45
108-118,0,0,1.84,0,13.74,9.65,212.11,4.01,2.57,3.03,29.79,9.03,0,0.51,216.87,3.78,6.86,0,1.16,45.33,0,12.3,6.79,507.08,0,5.14,7.06,0,0,4.58,0,0,1.86,5.71,0,13.39,0.55,1.13,5.96,0.82,665.82
120,0,0,0,0,16.58,2.14,193.62,0,1.05,4.69,15.41,4.03,0,0,85.14,0,1.99,0,0,29.04,0,2.58,7.07,737.46,1.96,14.18,0,0,0,6.38,0,0,2.78,4.36,0,62.51,0,0,3.05,8.22,210.85
