stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,19.45,625.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.72,781.03,0,0,0,0,0,0,0,0,0,0,0,0,38.29,0,8.65,0,9.33,0,0,0,0,0,0
  7-9,5.75,22.97,13.85,0,0,44.14,0,0,0,8.85,0,0,0,0,515.93,13.2,102.04,0,0,5.74,0,0,0,0,0
 10-12,0,25.21,29.86,0,8.6,28.96,0,0,0,3.59,0,0,0,0,293.05,10.97,69.04,0,0,0,0,18.49,0,0,0
 14-21,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,3.81,0,0,0,0.93
 24-34,0,0,0,0.82,0,2.06,0,0,1.63,0,0,0.91,1.45,0,17.06,0,0,0,0.84,0,0,0,1.93,0,0
 36-46,0,0,0,1.77,0,6.56,0,0,0.65,0,0,0,0.99,0.67,30.34,0,0,0,0.96,0,0,0,2.5,0,0
 48-58,0,0,0,0,0,21.04,0,0.41,1.51,0,0.44,0,4.88,4.74,26.55,0,0,0,0,0,0,0,1,0,0.49
 60-70,0,0,0,0,0,20.16,0.69,0,3.45,0,0,0,8.57,0,5.04,0,0,0,0,0,0,0,0.6,0,0.87
 72-82,0,0,0,0,0,8.63,0,0.57,2,0,0,0,2.93,0,21.79,0,0,0,0,0,0,0,0.8,0,0.5
 84-94,0,0,0,0.83,0,12.04,0,0,1.35,0,0,0,1.59,0.75,26.58,0,0,0,0,0,0,1.46,0,0,1.84
 96-106,0,0,0,0,0,4.47,0,3.14,3.71,0,0,0,0,0,5.26,0,0,1.47,1.05,0,0,0,0,0,0
108-118,0,0,0,0.47,0,8.56,0,0,0,0,0,0,4.87,0,5.93,0,0,0,0.76,0,0,0,0,0.68,0.74
120,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,19.78,0,0,0,0,0,0,0,0,0,0
