stage,epidermis,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,10.29,0,0,0,0,0
 14-21,2.07,0.89,0,0,1.19,0,0,12.5,0,0.82,1.92,3.52,0
 24-34,0.65,1.34,0,0,0.59,0,0,9.83,0,0,0.64,2.23,0
 36-46,0,4.31,0,0,1.23,0,1.45,30.37,0,0,0,4.79,0
 48-58,0,3.71,1.68,0,5.43,0.4,0.39,8.05,0,0,0,2.3,0
 60-70,0,3.04,0,0,1.67,0,0,10.7,0,0,0,0.64,0
 72-82,0,3.79,1.78,0,3.23,0,0,3.56,0,0,0,5.94,0
 84-94,1.3,2.6,0.57,0,0.8,0,0.87,2.89,0,0,0,1,0
 96-106,0,4.79,0,0,0,0,0,3.48,0.69,0,0,0,2.52
108-118,0.43,3.26,0,0,1.98,0,0,3.04,1.58,0,0,0,0
120,0,0,0,1.18,0,0,0,7.19,0,0,0,0,0
