stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,139.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.51,3.25,0,0,19.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.26,0,0,0,25.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,17.12,1.82,0,0,0,0,0,2.08,0.89,0,0,0,0,4.33,0,5.9,0,0,2.49,29.73,0,5.23,0,0,0,7.26,3.58,0,3.9,11.25,0,0,1.09,0,0
 24-34,0,0,0.68,7.53,0,14.39,0,0.61,0,2.51,0,0.76,0,0,0,2.28,0,1.19,15.91,0,0,7.36,132.16,1.07,0,0.96,0,0,22.94,0,1.38,1.3,22.36,0,0,4.05,0,0.69
 36-46,0,0,0,15.16,0,7.75,0,2.03,0,7.51,0,0,0,0,14.33,1.41,0,9.57,19.61,0,0.71,5.77,141.21,1.07,1.95,0,0,0,36.19,0,0,0,43.52,0,0,17.7,0,6.61
 48-58,0,0,0,8.11,0,32.45,0,7.09,7.07,45.46,0,0,0,0,4.11,2.48,0,2.33,36.89,0,1.05,5.65,156.45,0,0.37,3.2,0,0,23.22,0,0,0,37.09,0,0,0.99,0,10.16
 60-70,0,0,0,9.03,0,46.61,1.41,4.17,1.36,39.48,0,0,0.78,0,14.31,0.74,1.63,1.24,52.76,5.63,3.55,1.07,96.2,0.66,0,1.03,0,0,22.62,0,0,0,18.03,0,0,1.92,0,6.18
 72-82,0,0,0,3.93,0.8,89.01,0,4.64,0,16.47,2.47,2.13,1.08,0,0.55,7.74,3,3.25,74.16,1.23,1.63,0.55,145.75,1.03,0,6.72,0,0,10.17,0,0,0,17.42,2.69,0,5.33,0,5.09
 84-94,0,0,0,16.34,0,57.41,0,1.81,0,29.32,13.67,0,2.4,0,8.4,0,1.27,2.13,56.06,3.28,3.54,4.8,82.28,7.93,1.31,2.33,0,2.48,14.87,0,1.57,0,10.03,0,1.8,11.49,2.06,1.05
 96-106,0,0,0,8.02,0,42.95,1.05,1.86,2.87,31.3,4.11,0,0.95,1.05,1.04,0,0.7,0,75.29,0,0,2.62,76.41,0.81,3.89,3.3,0,0,12.29,0,1.7,0,8.72,0,1.98,2.87,6.04,4.45
108-118,0,0.6,0.61,9.64,0,39.5,0,0.43,0.57,30.45,7.21,4.34,1.97,1.06,1.45,0,1.37,3.23,86.49,0,0,6.47,99.48,0,1.96,1.89,0,3.85,14.93,0,0,0,1.81,0,0,26.94,4.13,10.79
120,0,0,1.28,68,6.91,52.3,0,1.12,3.48,62.09,8.64,0,0,0,11.27,0,19.39,0,262.83,0,28.04,14.05,156.66,5.04,2.2,6.21,0,0,45.16,0,0,0,12.11,0,0,30.39,14.22,13.79
