stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,97.58,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0
  5-6,56.98,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0
  7-9,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,67.76,0,0,12.78,0,0,0,0
 14-21,0,0,0,0,0,0,0,9.19,0,0,0,0,3.92,0,0
 24-34,0,0,0,0.59,0,0,1.88,13.21,42.55,0.69,0,0,2.58,0,0
 36-46,0,0,0,1.79,0,0,0,10.77,0,0,0,0,1.05,0,0
 48-58,0,0,1.91,2.18,0,0,6.16,2.18,2.36,0.68,0,0,0,0,3.23
 60-70,0,0,0,2.05,1.96,0,0.59,0,0,2.53,0,0,0,0,0
 72-82,0,0,0,15.67,0,0,1.67,0,0,0.9,0,0,0,3.36,0
 84-94,0,0,0,3.27,0,0,5.81,0,2.92,0,0,0,0,0,0
 96-106,0,0,0,2.99,0,0,0,0,14.16,0,0,0,0,0,0
108-118,0,0.74,0,0,0,1,2.9,1.72,3.31,0,0,0,0,0,0
120,0,0,0,0,0,0,2.35,0,11.41,0,0,0,0,0,0
