stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,58.88,0,0,0,0,0,0,0,0,0,0,0,0,128.75,0,0,0
  5-6,34.68,0,0,0,0,0,0,0,0,0,0,0,0,210.97,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,25.08,3.65,16.64,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,41.4,3.23,6.59,0,0,0
 14-21,0,0.98,0,0,0,0.94,0,0,0,2.13,0.83,3.23,0,0,1.64,1.93,0
 24-34,0,1.41,0,2.84,0,0,0,0,0.94,0,0,3.07,0,0,0,1.28,0.86
 36-46,0,0,0,0,0,0,0,0,0,0,0,16.84,0,0,0,0,0.96
 48-58,0,0,0,1.69,0,0,0,0.43,0,0.78,0.49,6.68,0,0,0,0,1.73
 60-70,0,0,0,6.17,0,0,0,0,0,3.64,0,5.81,0,0,0,0,2.72
 72-82,0,0,0,12.53,0.51,2.31,0,0,0,1.45,0,8.9,0,0,0,0,0
 84-94,0,0,0,1,0,4.78,0,0,0,3.04,0,6.12,0,0,0,0,0
 96-106,0,0,0,2.93,0,4.86,0.64,0,0,1.07,0,4.8,0,1.36,0,0,0
108-118,0,0,0,0,0,8.53,1.25,0,0.5,0.86,0,3.19,0,0,0,0,0
120,0,0,4.51,0,0,9.13,0,0,0,2.61,0,6.91,0,1.79,0,0,0
