stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,35.31,11.84,0,0,4.63,0,0,1.81,3.58,0,1.26,0,0,3.46,4.65,18.06,4.17,0,0,0,0.97,19.69,0,3.98,51.13,7.77,0,0,2.24,0
 24-34,0,9.84,0,2.23,0.66,7.53,0,1.64,0,0,0,1.24,3.2,0,15.75,6.03,44.77,0.65,0,0.61,0,0.74,0,0,0,10.74,9.68,0,0,4.29,0
 36-46,0,0,0,7.59,0,1.09,0,8.49,0,0,0,0,0,0,10.06,0,71.81,0,1.64,2.11,0,1.46,0,0,0.57,0,2.91,0,0,1.32,0
 48-58,0,0.37,0,20.61,0.67,1.88,0.46,4.39,0,0,0,0,0,2.11,25.04,0.94,89.13,0,0,0.43,0,0,0,0,0,0,6.87,0,0,0,0
 60-70,0,1.6,0,53.52,0.78,4.88,3.37,8.55,0,0,0,0,0,0,24.22,1.33,147,0,0,0,0,0,0,0,0,0,4.8,0,0,3.4,0
 72-82,3.63,3.91,0,88.59,0.6,8.86,8.91,8.28,0,0,0,0,0,1.8,31.09,0,160.33,0,0,0.88,4.28,0,0,0.57,0,0,5.83,0,0.73,0,0.77
 84-94,1.8,4.56,0,91.57,0,1.46,1.05,9.95,1.45,0,0,0,0,0.58,25.24,0,136.47,0,0,0,1.66,0.58,0,0,0,0,8.74,1.37,1.76,1.88,0
 96-106,5.7,1.4,3.97,47.17,0,2.8,4.1,4.51,0,0,0,0,0.65,0,22.41,0.76,87.93,0,1.02,0.8,7.08,1.45,0,0.6,0,0,0,0,0,3.36,0.8
108-118,7.96,5.96,0,42.68,0,7.11,1.76,2.53,2.54,0,0.49,0,2.19,0,18.53,0.76,149.23,0,0,0,2.4,0,0,0,0,0,1.44,0,0,1.29,0
120,2.96,10.96,0,74.77,1.26,3.34,1.92,15.77,0,0,0,2.78,0,0,17.01,0,160.05,0,0,0,0,0,0,0,0,0,3.5,1.84,0,0,0
