stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,82.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.91,0,0,0,17.19,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,2.78,0
 24-34,0,0,0,0,0,0,0,0.89,0,17.96,0,0,0.69,0,0.99,1.47,0
 36-46,0,0,6.95,0,0,0,0,0,0.61,41.33,0,0.93,0,0,3.56,16.53,0
 48-58,0,0,5.19,0,0,0.56,0,1.95,0,42.57,0,0,0,0,4.9,6.24,0
 60-70,0,0,15.97,0,0,0.7,0,2.42,0,76.03,0,0,0,0,0,2.37,0
 72-82,0,0,20.59,0,0,1.58,0,5.43,0,26.56,0,0,0.59,0,0,3.68,0.85
 84-94,0,0.67,10.1,0.62,2.76,0,0,0,0,6.19,0.89,0,0,0,0,1.4,0
 96-106,0,0,2.73,0,0,0,0,1.82,0,15.72,0,0,0,0,0.62,0,0
108-118,0,1.35,8.48,0,0,5.8,1.81,0.49,1,21.52,0,0,0,0,0,0,0
120,0,0,8.62,0,0,0,0,1.29,0,3.77,0,0,1.28,0,1.04,0,0
