stage,blastomeres,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,10.59,0,0,0.9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.39,0.67,1.26,1.22,0
 36-46,0,1.52,0,0,0,0,0,0,0,4.38,0,0,2.24,0
 48-58,0,2.59,0.57,2.82,0,0,0,0,0,3.04,0,0.93,0.9,1.32
 60-70,0,12.38,0,0,0,5.9,2.71,0,1.01,5.15,0,0,0,0
 72-82,0,1.95,0,0,0,0,1.05,0,0,4.88,0,0,6.62,0
 84-94,0,9.56,0,0,0,0,1.69,0,1.86,0.69,0,0.65,0,0
 96-106,0,0,0,0,0,0,0.97,1.47,0,4.6,0,2.05,0,0
108-118,0,0,0,0,0.43,0,5.54,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0
