stage,endocrine.pancreas,eye,gut,neural,spinal.cord
 14-21,0,0.91,0,1,0.86
 24-34,0.84,0,0,0,1.77
 36-46,0,2.33,0,1.66,0
 48-58,0,1.97,0,3.05,1.68
 84-94,0,0,0.62,0,0
