stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.75,171.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,274.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.08,0,0,0,8.94,0,18.53,0,0,0,0,0,0,0,0,0,0
  7-9,9.82,6.05,0,8.17,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.77,11.5,0,0,84.69,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.13,0,0,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.61,11.87,0,0,22.81,0,0,0,0,11.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.18,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,6.32,33.37,0,0,0.99,2.09,0,0,0,3.83,0.87,0,2.78,6.97,0,0,0,0
 24-34,0,0,1.05,0,1.32,0,5.41,0,0,2.05,0,0,0,0,0,0.77,0,0,17.5,0,0,1.46,110.21,1.48,1.54,0.67,0,0,1.9,0,0,0,0,0,14.64,0,1.46,0,0
 36-46,0,0,0,0,2.05,0,12.73,0,0,7.11,0,0,0,0,0,0,0,0,6.42,0,0,0,203.49,0,3.53,2.29,0,0,24.15,0,0,0,0,0,24.66,0,8.25,0,0
 48-58,0,0,0,0,1.62,0,28.02,0.49,0,6.89,0,0,0,0.38,0,1.59,2.18,0.83,16.22,0,6.14,1.05,131.94,0,0,0.77,0,0,0.87,0,0,0,0,0,27.49,0.42,0,0,6.78
 60-70,0,0,0,0,7.9,0,26.83,0.69,0,4.8,0,0,0,0,0,0.63,0,0,10.35,0,0.7,0,99.83,0,0.98,0,0,0,4.25,0,0,0,2.1,0,16.31,0,1.17,0,0
 72-82,0,0,0,0,6.53,0,74.07,0,0.56,6.64,0,0.51,0,0.58,0,0,0,0,12.82,0,1,1.15,73.61,0.53,0,0.76,0,4.65,2.86,0,0,0,0,0,4.47,0,0.84,0,0
 84-94,0,0,0,0,4.65,0,35.04,0,1.18,9.69,0,4.26,0,0,0,0,0,0.71,14.51,0,0.86,0.91,80.12,0,1.05,0.61,0,0,4.47,0,0,1.07,1.3,0,11.05,0,1.79,0,0
 96-106,0,0,0,0,4.44,4.98,24.05,0,0,9.06,0,0,0,1.68,0,0,0,0,29.98,6.46,0.78,3.88,99.59,0,1.93,0,0,0,11.25,0,0,0,0,0,0,0,0.56,0,0
108-118,0,0,0,0,6.58,0,54.71,0.46,0,12.95,1.11,0,0,0.47,2.03,3.35,0,0,23.35,0.6,0,1.38,92.76,3.15,0,1.16,0,0,9.46,0,0,0,0,0,0,0,9.24,0.44,0
120,0,0,0,0,1.24,0,3.77,6.25,5.4,13.38,0,0,12.14,0,0,0,0,0,12.91,0,0,1.82,162.02,0,0,4.59,0,0,1.55,0,0,0,0,0,2.1,0,0,7.78,0
