stage,eye,glial,gut,mesenchyme,neural,spinal.cord
 14-21,0,0,0,0,0,1.27
 24-34,1.04,0,0,0.65,1.36,0
 60-70,0,1.23,0,0,2.05,0
 72-82,0,0,0,0,1.82,0
 84-94,0,0,0.66,1.41,0,0
120,0,0,0,0,16.05,0
