stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,666.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0
  5-6,23.22,1017.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.98,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,38.76,22.9,0,0,0,32.14,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,401.01,14.59,0,0,123.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.27,13.38,0,0,0,45.02,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,504.64,12.14,0,0,125.55,0,0,38.08,0,4.35,4.51,0,0,0,0,0
 14-21,0,0,0,25.84,7.86,0,7.22,0,0,0,5.56,0.96,0,0,0,0,0,0,0,0,12.51,0,11.96,203.72,6.33,0,4.01,3.92,1.78,23.04,0,0,14.93,78.74,0,0,2.53,0,0
 24-34,0,0,0.59,7.7,0,0,27.18,0,2.78,1.73,6.5,0.92,0,1.04,1.78,0.81,1.45,3.02,0,0,47.08,0,8.82,388.84,0.61,0,1.54,0,7.32,0,0.65,0,3.78,61.71,0,0,11.39,0,2.64
 36-46,0,0,0,6.96,1.19,0,60.95,0,0,0.89,22.06,0,0,1.47,0,0,0,0.81,1.5,0.66,31.6,0,10.85,311.59,0,0.56,0,0,16.09,0,0,0,0,89.21,0,0,1.21,0,2.99
 48-58,0,0,0,5.84,0,0,78.2,0,6.43,0.77,22.12,0.51,0,1.37,0,0,0,1.54,0,3.07,25.21,6.61,11.1,150.21,0.4,4.5,2.85,0,4.82,0,0,0,0,37.1,0,0,3.37,0,0
 60-70,0,0,0,19.3,0,0,102.41,0,14.48,7.49,18.81,6.36,0,0.58,11.18,0,0.82,0,0,1.05,56.86,1.73,10.62,169.47,0,1.22,0,0,0.69,0,0.68,0,0,32.87,0,0,2.81,0,1.18
 72-82,0,0,0,1.21,0,0,38.72,0,0,1.07,9.75,0,0,0,0.51,0,0,0.72,0,0,24.62,0,3.31,80.49,0,0.58,0.51,0,4.72,0,0,0,0,5.25,0.87,0.91,4.93,0.71,2.76
 84-94,0,0,0,9.24,0,0,40.75,0,1.95,2.14,28.05,1.16,0,3.63,2.13,3.8,4.06,0,0,0,27.79,1.09,2.95,63.19,0,0,0,0,9.03,0,0,0,0,0,0,0,6.24,0,0
 96-106,0,0,0,9.56,0,0,11.49,0,0,2.28,6.79,3.1,0,0,1.4,0,0,0,0,0,5.65,0,3.7,45.2,0,0.57,0,0,6.38,0,0,0,0,6.64,1.17,0,6.3,0,0
108-118,0,0,0,7.47,0,0.55,27.01,0.47,0,1.09,5.46,0.49,0,1.1,0,0,0,0,0.52,0.51,18.5,0,1.16,57.13,0,0,0.99,0,6.04,0,0,0.57,0,6.26,0,0,7.36,0,0
120,1.12,0,0,6.24,0,0,41.19,0,0,0,22.71,2.93,0,0,0,0,0,0,0,0,25.81,0,15.16,128.51,0,0,1.29,0,6.91,0,1.47,0,0,0,0,0,0,5.9,0
