stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,10.32,524.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0
  5-6,49.75,1134.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0
  7-9,27.5,52.99,21.91,0,0,74.98,0,0,17.2,0,0,0,0,672.59,4.99,0,193.89,0,0,0,0
 10-12,0,20.99,35.02,0,0,22.48,0,0,0,0,0,0,0,493.58,0,0,136.5,0,12.9,0,0
 14-21,0,0,0,0.85,2.71,0,0,0,0,0,0,0,0.8,3.94,0,0,0,0,0,1.29,0
 24-34,0,0,0,0,0,0.69,0,0,0,0.92,0,0,0,6.84,0,0,0,0,0,0,0
 36-46,0,0,0,2.5,0,0,0,0,0,0,0,0,0.63,1.89,0,1.13,0,0,0,0,1.25
 48-58,0,0,0,0.37,0,2.34,0,0,0,0,0,0,0,1.97,0,0,0,3.84,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.25,0.7,0,0,0,0,0,3.01,0,0,0,0,0,0,0
 84-94,0,0,0,2.31,0,0,0,0,0,0,0,0,0,1.66,0,0,0,2.67,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0.8,0,0,0,0.93,0,0,0
108-118,0,0,0,0,3.65,1.36,0,0.58,0,0,0,0,0,5.87,0,0,0,0,0,0,0
120,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
