stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.65,38.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.18,0,0,0,0,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0,34.24,0,0,0,0,6.22,6.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.93,4.01,0,0.87,0,0,0,0.99,0,2.09,0,0,0,0,0,0,0.85,1.81,0,0,2.35,14.58,0.84,0,0.88,0,23.58,0,0.9,2.92,1.08,4.13,8.1,0,0,1.65,0,0
 24-34,0,0,0,0.76,3.39,2,0,7.68,0,1.24,0,1.76,0,0.66,1.67,0,3.18,0,0,0.95,3.74,2.07,0.69,0,0.74,56.69,3.77,1.06,0.65,0,73.26,0,0,0.6,0,0,12.12,0,0,12.42,0,4.28
 36-46,0,0,0,0,16.25,0.79,0,9.26,0,4.07,1.94,1.94,0,0,0,0.58,0,0,0,7.64,8.71,6.23,0,0,1.32,40.86,1.69,2.14,1.06,0,90.75,0,0,0.61,0,0,7.37,0,0,5.29,0,14.72
 48-58,0,0,0,0,5.58,0,0,26.81,0.67,1.58,1.94,17.59,0,1.18,0,3.31,4.62,0,1.11,3.99,5.35,28.52,3.39,0,0,53.32,2.72,0.42,0,0,67.02,0,0,2.59,0,0,26.03,0,0,14.85,0,10.69
 60-70,0,0,0,0,6.3,0.67,0,47.5,0,1.96,0,34.07,0,0,0.77,6.27,2.43,4.77,1.9,0,3.59,31.73,0.62,0,1.42,58.48,0,1.12,0,0,70.21,0,0,3.13,0,0,10.78,0,0,5.83,0.87,13.43
 72-82,0,0,0,0,6.55,6.02,0,51.78,0,0,1.54,67.33,5.36,0,0.82,6.89,1.04,8.07,1.77,0,8,55.64,5.98,0,1.48,35.96,0.73,1.28,9.34,0,23.09,0,0,0,0,0,2.63,4.87,0.91,10.13,1.33,12.68
 84-94,0,0,0.94,0,17.4,0.72,0,59.86,0.69,0.79,2.18,39.01,3.07,0,1.45,5.51,0,4.37,0,0.64,11.23,34.28,2.22,5.36,1,24.05,0,2.05,2.04,0,83.05,0,0,0.67,0,0,0.61,1.43,1.86,14.87,0,1.68
 96-106,0,0,0,0,13.9,1.92,0,94.5,0,5.57,1.21,31.03,7.38,0,3.41,6.51,0,1.04,1.99,0,0,45.98,3.73,0.88,0.68,34.28,1.05,9.94,0.63,0,70.18,0,0,0.78,0,0,4.05,3.08,1.6,6.73,2.17,0.9
108-118,0,0,0.47,0,11.9,7.27,2.23,104.31,0.58,0.42,1.68,23.99,3.05,0,1,5.17,0.79,10.3,0.51,0.52,0,33.12,1.53,5.76,2.15,32.51,0,2.01,7.38,0,64.49,0,0,1.78,0.46,0,0,1.62,2.1,11.49,2.5,6.34
120,0,0,0,0,28.95,0,0,102.25,0,1.13,8.81,43.74,19.57,0,0,23.18,1.4,8.47,0,2.56,0,25.13,0,0,3.81,40.61,0,13.58,0,11.71,53.87,0,0,12.51,0,0,1.81,2.24,0,3.87,8.01,0
