stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,27.31,0,0,0,6.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,96.81,3.56,0,0,24.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.76,2.77,2.36,0,0.97,0,6.35,0,0,0,0,0,27.28,0,0,0,0,0,3.61,0,0.93,2.95,7.56,0,0,0
 24-34,0,1.26,0,0.66,0,0.6,0,0,0,0,0.9,0,0.78,0,0.62,48.18,0,0,0,0,0,0,0,0,0.75,14.17,0,0,0
 36-46,0,1.42,0,0,0,1.14,0,0,0,2.11,0,0,0,0,0,93.67,0,0,0,0,0.72,0,0,0,0,13.24,0,0,0
 48-58,0,0,0,0,0,5.91,0,1.81,0,0,1.43,0,0.55,0.95,0,85.27,0,0,0.38,0,2.96,0,1.14,0,0,20.01,0,0,0
 60-70,0,0.95,0,7.2,0,50.23,0,4.75,0,4.48,0,0,0,1.01,0,194.32,0,0,0,0,0,0,3.18,0,0,8.48,0.57,0,7.46
 72-82,0,4.2,0,0,0.5,77.62,0,24,1.42,0.51,0.67,0,5.93,3.04,0,121.28,0,0.58,0,0,0,0,0,0,0,8.51,0.52,0,3.91
 84-94,0,7.4,0,0,0,59.49,0,18.58,0.62,0.64,0.75,0.58,0,0,0,110.61,0,0,0,0,2.49,0,0,0,0,4.92,0,0,0
 96-106,0,1.37,0,5.87,0,56.02,0,36.09,2.09,0,0,0,8.87,1.22,0,123.52,0,0,0,0,0,0,0,0,0,1.56,0,0.99,0
108-118,0,0,0,4.66,1.83,39.67,0.42,21.27,0,0,1.02,0,2.24,5.54,0,156.07,0,1.04,0,0,0,0,0,0,0,0,0,0.94,0
120,0,0,0,0,0,59.07,0,11.79,0,0,0,0,0,0,0,277.33,0,0,0,0,0,0,0,0,0,0,0,0,0
