stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,mesenchyme,neural,otic,periderm,spinal.cord
  3-4,12.39,21.25,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.79,0,0,0
 14-21,0,0,0.89,0,0,0,8.29,0,0,0.99
 24-34,0,0,0.62,0,0,0,8.72,0,0,0
 36-46,0,0,0,0.64,0,0,3.71,0,0,0.8
 48-58,0,0,0,0.6,0,0,12.58,0,0,1.25
 60-70,0,0,0.59,1.5,0,1.6,9.49,0,0,0
 72-82,0,0,0,2.15,0,0.73,2.66,0,2.3,2.23
 84-94,0,0,0,0.67,0,0,0,0.72,0,0
 96-106,0,0,0,0,1.21,0,3.75,0,0,0
108-118,0,0,0,0,0,1.86,6.15,0.48,0,0
120,0,0,0,0,0,0,8.49,0,0,0
