stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0
  5-6,49.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,15.61,0,0,0,3.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,20.75,0.99,0,1.74,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0.98,16.35,0,0,0,0,0,1.01,2.51,0,1.82,1.19,5.2,0,0,0,0,0
 24-34,0,0,0,42.82,0,0,1.57,0,4.71,0,0,0,0,0,0.72,0,0,0,0,4.39,0,0,0,68.08,0.67,1.32,1.32,0,0,7.1,0,0.86,0,0,41.18,0,0,3.63,0,0.76
 36-46,0,0,0,51.53,0,0,11.26,0,12.22,0,5.71,0,1.7,0,0,0,0,1.07,0,4.49,0,1.06,0.9,175.37,0,3.79,0,0,0,4.66,0,0,5.36,0,61.34,0,0,9.9,0,0
 48-58,0,0,0,52.93,0.42,0,27,0,13.69,1.27,31.88,0,1.14,0,0,0,0,2.77,0,14.98,0.52,0,2.85,286.27,10.66,5.99,6.3,0,0,9.45,0,0.43,0,0,76.46,0,0,11.55,0,0
 60-70,0,0,0,60.25,0,0,69.44,0,29.57,0,76.01,0,0,0,0.61,0,0,0,8,19.56,0,0.95,0.69,441.5,13.33,3.5,0,0,0,13.59,0,0.6,0,0,74.09,0,0.94,1.62,0.73,4.35
 72-82,0,1.45,0.75,24.63,0.96,0,134.4,0,13.91,0,88.11,9.52,2.99,1.8,1.53,0,0,1.36,0,44.58,0,2.07,0,528.53,2.33,3.3,0.61,0,0.89,2.4,0,2.22,8.92,0,75.12,0,3.18,53.32,0.62,4.94
 84-94,0,0.98,0,50.24,11.97,0,110.27,0,12.36,0,90.7,12.73,2.14,0,3.35,1.02,0,0,0,37.82,0,7.02,0,384.65,4.57,6.76,1.49,0,0,9.65,0,2.41,0.66,0,108.41,0.6,4.27,42.96,0,0
 96-106,0,0.94,0,55.56,10.91,5.7,116.46,0.87,14.09,5.67,69.2,27.43,1.64,0.95,2.08,0.63,1.11,5.65,0,53.65,0,0.93,3.81,471.34,5.25,5.77,2.7,0,12.03,31.35,0,0.71,0,0,61.74,0,5.28,30.9,2.24,0.72
108-118,0,2.94,0,68.9,2.51,3.4,120.44,0,30.29,1.29,104.91,43.12,3.19,4.31,6.54,4.6,0.61,0,0.9,83.92,1.08,9.11,1.12,502.13,2.62,8.33,3.93,0,4.18,13.32,0,1.24,0,0,21.57,4.13,5.5,23.91,3.24,5.07
120,0,3.9,0,82.86,10.1,0,206.33,0,27.1,2.45,219.04,100.76,1.85,14.19,1.07,1.74,0,30.71,0,91.73,2.89,0,1.5,1059.01,10.52,0,6.52,0,0,22.58,0,4.64,0,0,96.73,0,13.01,33.84,2.01,0
