stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,12.69,100.47,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.86,58.92,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.74,0,0,29.12,10.88,5.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,17.81,0,16.74,0,20.66,3.87,3.51,0
 14-21,0,0,0.92,0,0,0,0,1.82,1.15,0,0.92,0,0,0,0
 36-46,0,0,0,0,0,0,0.61,4.83,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0
 60-70,0,0,0,1.99,0.8,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.75,0,0.59,1.78,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72
 96-106,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0
