stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,32.44,0,0,0,0,0,0,0,0,0
  7-9,0,4.32,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,32.97,0,0,0,5.22,0,15.86,0,0,0,0,0,0,0,0,0
 10-12,0,19.76,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,106.58,0,0,0,22.09,0,22.69,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,161.26,16.91,0,1.19,0,0.87,0,0.91,3.2,0,0,0,6.45,0,0,0,0,3.59,0,0,1.11,17.91,0.86,0,0.94,0,0,65.77,0.84,18.84,17.96,8.13,0,0,0,0,0
 24-34,0,1.54,208.12,9.65,0,0,0,17.71,0.69,0.76,3.91,0.76,0,2.67,6.3,0,0,0,0,14.35,2.16,0.82,4.94,51.24,3.36,3.42,0.69,0,0,258.77,0,1.63,0,7.38,0,0,3.63,0,1.66
 36-46,0,0,125.42,0,0,3.55,0,30.62,0,4.97,0,0,4.67,0,0.59,2.48,0,0,0,24.06,1.24,2.15,4.42,65.77,3.77,0,0,0,0,327.18,0,0,0,19.24,0,0,0,0,24.86
 48-58,0,0,133.73,2.82,0,31.44,1.31,37.22,0.43,1.69,0.68,0,3.55,0,0.5,1.46,0,6.39,0.43,24.5,1.36,3.8,4.38,125.29,0,0,0,0,0,157.83,0,0,0,16.29,0,0.95,3.59,0.9,18.48
 60-70,0,0,94.12,0.65,0,16.01,0,34.24,0.6,14.46,0.89,0,8.32,0,0.6,5.49,0,0,0,63.26,0.7,13.12,0,184.67,0.82,0,0.99,0,3.4,119.94,0,0,0,14.19,0,15.1,3.58,5.46,8.35
 72-82,0,0,82.25,4.05,0,52.37,0,26.11,2.44,28.07,2,0,8.28,1.78,3.68,10,0,6.46,0,54.86,0.5,21.94,2.65,229.35,0,0.86,0,0,6.74,93.94,0,0,0,14.24,1.66,23.63,8.12,36.38,11.12
 84-94,0,0,157.14,4.01,0,35.12,0,34.01,2.26,9,1.49,0,6.1,0.58,2.66,8.64,0,0,0,51.74,1.14,23.25,0.68,155.3,0.72,0.76,0,0,0,245.81,0,0,0,3.71,0.71,29.32,3.11,30.32,11.6
 96-106,0,1.03,191.64,12.92,0.9,60.62,0,50.04,17.23,33.07,10.16,0,13.3,3.13,15.2,20.76,1.11,0,0,105.38,1.63,18.89,3.31,166.38,0,2.83,0.73,0,11.87,248.03,0,0.71,0,13.39,1.15,29.22,12.92,50.42,26.54
108-118,0,0,208.29,6.65,3.65,50.76,1.44,36.27,7.45,27.43,8,0,8.2,4.86,7.54,100.99,0,6.22,1.12,111.07,2.07,24.86,0.77,241.73,0.45,0.7,0,0,10.34,170.71,0,0,0,6.61,11.03,14.28,3.11,41.35,24.4
120,0,0,169.6,8.2,0,53.49,3.58,29.56,15.93,18.21,5.45,0,3.22,2.69,0,30.79,1.84,0,0,66.94,4.04,44.53,13.06,392.06,0,0,0,0,19.05,125.69,0,0,0,7.58,1.19,16.18,0,53.21,14.35
