stage,heart,ionocyte,mesenchyme,neural,periderm,spinal_cord
 24-34,0,0,0,0.66,0,0
 36-46,0.89,0,0,0,0,0
 48-58,0,0,0,2.88,0,0
 60-70,0,0,2.22,0,2.93,0
 72-82,0,0,0,5.04,0,0
120,0,2.99,0,0,0,7.84
