stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,100.94,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0
  7-9,0,0,0,0,4,0,0,0,0,0,29.73,0,0,9.24,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,35.54,5.03,0,6.85,0,0,0,0
 14-21,0,0.88,1.03,0,3.47,0,0,0,0,0,10.96,0,0,0.92,0,2.38,0.9,7.84
 24-34,0,0,0,0,0,0,0,0,0.76,3.56,3.25,0,0,0,0.62,0,0,2.32
 36-46,0,0,0,0,0.63,1.11,0,0,3.2,0,5.64,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.6,0,0,0,0.77,0,5.96,0.71,0,0,0,0,0,1.41
 60-70,0,0,0,0,4.03,0.99,0,0,0.69,0,9.32,0,0,0,0,0,0,0
 72-82,0,0,0,6.67,1.71,1.67,0,0,0.56,0,12.35,0,1.19,0,0,0,0,0
 84-94,0,0,0,0,4.83,0,0,0,0,0,2.47,0,0,0,0,0,0,1.3
 96-106,0,0,0.58,0,0,0,0,0,5.93,0,8.67,0,0,0,0,0,0,0
108-118,0,0,0,0,7.92,0,0,0,1.22,0,2.47,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.52,1.76,0,0,3.2,0,0,0,0,0,0,0
