stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.13,0,0,8.55,0,3.3,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.5,72.11,4.11,0,0,0,0,0,0,0,0,2.84,0,0,0,11.72,11.24,0,0,32.81,10.01,0,0,0,0,13.89,0,12.35,6.01,1.29,4.25,0,0,0,0,0
 24-34,0,0,1.62,0,4.21,0,0,0,0,0,4.49,0,1.61,0,0,0,7.47,12.81,0,0,2.34,56.54,1.5,3.95,0,0,17.54,0,43.74,11.59,0,13.85,0,0,0,0,0
 36-46,0,0,0,0,4.59,0,0.89,0,0,0,0,0,1.68,0,0,8.85,0,11.79,0,0,3.05,54.37,1.73,1.26,0,0,4.13,0,26.44,0,0,17.06,0,0,0,0,0
 48-58,0,0.43,2.5,0,19.53,0,0.37,1.26,18.29,0,0.49,0.65,12.34,0,0,0.45,0,35.9,0,0,3.21,91.22,1.32,2.34,0,0,0.46,0.65,8.97,0,0,18.43,0,0,1.32,0,3.77
 60-70,0,0,5.28,0,106.56,0,9.99,5.08,44.87,0,0.66,0,3.48,0,0,0.8,3.59,85.04,0,0.93,6.94,172.41,6.23,9.3,0,0,3.59,0,5.98,2.37,0,26.86,0,1.4,0.63,2.72,0
 72-82,0,0,3.05,4.6,131.81,0,0.73,5.6,80.02,0,1.02,0,1.8,1.73,0,0,1.19,121.81,0,6.26,4.71,248.51,0.82,8.76,0,2.73,0.58,0,6.41,3.02,0,7.15,0,4.8,0,0,0
 84-94,0,0,7.9,0,76.21,0,8.34,2.17,63.45,0,4.35,0,11.77,0.76,3.74,2.41,0,112.47,0,19.05,3.08,207.3,0.68,9.88,0,0,2.72,0,5.93,0,0,14.69,0,4.32,0,0,0.77
 96-106,0,0,9.98,0,94.54,0,2.28,2.83,53.39,0,0,1.02,7.16,0,2.23,2.24,0,125.58,0,1.46,0.95,207.58,0.58,11.1,0,11.62,1.28,0,5.42,0,0,22.47,0,1.96,2.05,0,2.13
108-118,0,0,9.15,0,115.16,1.5,3.86,3.14,83.56,0.51,0,1.54,14.37,7.02,0,0.43,0,190.55,1.18,1.73,6.53,254.75,2.63,7.08,0,12.7,0,0,10.54,0.46,0,8.02,3.16,2.41,1.03,1.9,12.32
120,0,1.28,8.88,0,114.91,0,0,21.34,155.5,0,0,0,32.73,0,3.65,2.44,2.7,278.67,0,12.11,0,487.06,6.24,22.31,0,0,3.4,0,3.83,0,0,23.98,0,0,0,0,0
