stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.72,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72,0,0,0,5.24,0,0,5.54,0,0,0,0,0,0,0
 14-21,0,0,0,12.64,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.54,0,6.76,0,0,0,0,0,0,7.32,0,0,0,0,0
 24-34,0,0,0.83,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,4.25,0,0,0,524.96,0,2.56,0.69,0,0,0,0,0,8.59,0,0,0,0,0
 36-46,0,0,0,0.86,8.68,0,458.55,0,0,0,1.7,0,0,0,0,0,0,0,0,4.09,0,0,0.57,1120.03,0,0,0,0,0,2.23,0,0,33.61,0,0,0,0,0
 48-58,0,0,0,12.78,0,0,4512.09,0,0.44,0,29.91,0,0,0,0,2.58,0.65,0,0,17.94,0,3.2,6.73,2656.58,0,0.78,0,0,0.56,4.02,0,0,87.94,0,0,0,0,0
 60-70,0,0,0,4.62,0.64,0,15110.95,0,1.71,0,41.74,0,0,7.84,0,0,0,0,0,31.32,0,0.99,3.48,4242.2,0,0,0,0,0,21.39,6.75,0.64,305.08,0,9.71,9.36,0,8.31
 72-82,0,1.51,0,89.63,6.5,0,27051.95,5.52,3.04,6.96,233.4,4.69,4.13,5.81,1.84,0,0,0,0,83.72,0,0.96,11.15,4833.54,2.83,3.22,1.37,0,1.08,6.39,0.76,0,252.58,8.51,2.59,11.15,7.26,38.88
 84-94,0,2.22,0,114.69,13.71,0,14616.12,0.7,11.58,0,221.96,4.58,8.19,5.11,0.61,7.71,2.49,0,0,130.78,0.98,9.54,16.1,3364.86,2.5,1.1,2.19,0,0,25.14,1.39,0,117.6,2.98,5.58,14.64,1.9,11.14
 96-106,0,0.81,0,72.4,30.31,1,16333.44,6.08,5.62,0,248.6,5.25,3.35,7.31,1.5,0,0.84,13.31,3.61,91.98,0.76,1.26,9.21,3367.52,0.62,1.97,3.12,0,7.8,37.31,2.09,0,26.46,9.81,2.31,8.89,4.11,2.54
108-118,0,0,0.59,52.06,8.54,0,14661.02,0.54,1.41,1.98,134.34,3.52,1.65,7.09,1.4,0,5.26,0.45,0,48.47,0,22.09,8.33,3947.44,2.32,3.12,5.06,0,1.23,19.18,0,0,25.05,34.15,0,1.39,0.49,11.03
120,0,0,3.17,120.75,6.35,0,7471.61,3.04,7.41,0,267.82,1.34,0,0,3.53,16.69,0,0,0,44.97,0,10.53,5.4,3094.03,0,0,13.75,0,11.05,3.2,0,0,65.54,0,0,0,0,8.94
