stage,blastomeres,mesenchyme,neural,paraxial_mesoderm
  3-4,9.65,0,0,0
  5-6,37.01,0,0,0
  7-9,0,0,26.88,5.54
 10-12,0,0,24.63,22.59
 96-106,0,0.67,0,0
