stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,16.57,0,0,10.37,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,156.68,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.18,39.52,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0,216.85,0,0,0,54.31,0,0,3.03,0,8.12,0,4.89,0,0,0,0
 14-21,0,4.44,2.13,0.81,0,0,0.91,0,0,0,0,0.81,0,0,3.14,0,0,2.49,44.26,0,0,1.24,0,0,1.5,0,3.9,0,0,5.88,16.35,0,0,0
 24-34,0,4.06,0,18.54,0,0,4.16,0,0,0,8.02,0,0,3.49,10.15,0,0.69,1.32,199.33,0,1.03,0,0,0,4.75,0,0,0,0,2.75,34.85,0,1.08,0
 36-46,0,0.94,1.65,28.5,0,0,10.4,0,0,0,0,0,0,0.7,14.16,0,0,3.06,196.79,0.66,1.02,1.02,0,0,2.71,0,0,0,0,0,47.74,0,7.43,0
 48-58,0,0,0,34.75,2.58,0,3.6,0,0,0.71,0,0,0,0,19.4,0.65,0.55,0.88,99.81,0,0,0,0,0,2.99,0,0,0,0.9,0,15.34,0,2.96,0
 60-70,0,2,0.58,57.22,0,0,11.52,0,0,1.45,0,0,0,0.63,3.37,0,5.31,2.47,82.78,0,6.14,1.42,0,0,3.28,0,0,0,0,0,13.34,0,0,0
 72-82,0,2.67,0,9.35,0,0,3.57,1.27,0,0,0,0,0,0,14.55,0,0,0.83,26.24,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0.71,0
 84-94,0,0,0,17.37,0,0,18.91,1.57,0,0,2.32,0,0,0,11.98,0,0,1.31,25.9,0,0,0,0,0,0.55,0,0,0,0,0,1.3,0.6,2.27,0
 96-106,0,1.39,1.98,3.18,0,0,5.29,0.67,0,0,0,0,0.75,0,8.17,0,0,1.09,23.01,0,0.56,0,0,0,3.21,0,0,0,0,0,0,0,4.52,0.69
108-118,0,8.45,0,12.89,1.69,0.53,8.61,0,0,0,0,0,0,2.23,9.74,0,0,0.51,47.16,0,0.59,0.53,0,0.76,1.39,0,0,0,0,0,0,0,1.24,0
120,0,0,0,44.34,0,0,5.22,2.95,0,0,0,0,0,0,11.35,0,0,0,77.33,0,5.37,0,0,0,1.23,0,0,0,0,0,0,0,0,0
