stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pronephros,taste,vascular.smooth.muscle,vasculature
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0
 48-58,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0.89,0,0,0,3.87,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,56.41,0,4.3,0,0,0,1.05,0,0,0
 72-82,0,8.34,0.66,0.5,0.86,0,0,3.97,0,0,0,0,97.91,8.12,6.94,0,0,1.16,3.38,0,0,0
 84-94,0,22.34,0,0,3.27,0.65,0,2.19,0,0,0,0,401.07,0.64,12.48,0,0,0,26.47,0,0,0.86
 96-106,2.73,59.99,27.49,0,7.33,12.7,2.35,2.96,2.13,2.37,0,1.76,827.17,45.6,5.94,1.18,1.2,40.87,20.58,0,1.2,0
108-118,0,61.13,0,3.41,3.89,18.4,0,0,0.5,0,1.14,0,1264.48,8.21,16.25,0,0,1.87,26.95,5.45,0,0
120,0,11.12,1.59,5.6,2.92,0,0,0,8.89,0,0,0,485.93,10.23,42.6,0,0,0,25.96,0,0,0
