stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,34.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.25,210.18,0,0,0,0,0,77.5,0,0,0,58.41,0,0,0,0,0
  7-9,78.16,4.83,13.6,0,0,0,0,85.33,0,0,0,40.02,17.27,19.93,0,0,0
 10-12,0,0,0,0,7.89,0,0,4.59,0,0,0,46.09,0,19.58,0,0,0
 14-21,0,0,0,3.06,1.47,0,0.87,0,0,2.23,0,1.76,0,0.89,1.96,3.7,0
 24-34,0,0,0,0,0,0,0,0,0,2.7,0,6.04,0,0,0,7.95,0
 36-46,0,0,0,0,0.77,0,0,0,0,0.56,0,5.2,0,0,0,23.53,0
 48-58,0,0,0,0,1.68,0,0,0,0.52,0,0,11.82,0,0,0,17.01,0
 60-70,0,0,0,0,0,6.27,0,0,0,0,0,14.88,0,0,0,26.16,0
 72-82,0,0,0,0,0,0,0,0,1.17,4.46,0.8,10.64,0,0,0,1.27,0
 84-94,0,0,0,1.46,1.28,0,0,0,4.73,0,3.19,0,0,0,0,2.06,0
 96-106,0,0,0,0,0,1.34,0,0,0,0.63,0,0,0,0,0,1.9,0
108-118,0,0,0,1.34,0,1.3,0,0,0,6.28,2.41,10.52,0,0,0,0.62,0.53
120,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0
