stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,periderm,pronephros,slow_muscle,spinal_cord,taste,xanthophores
 14-21,0,0,1.25,0,0,1,15.47,0,0.94,1.37,8.39,0,0
 24-34,0,0,1.85,0,0.75,0,1.46,0,0.94,0,1.61,0,0
 36-46,0,4.09,1.41,0,0,0,2.61,0,0,0,4.12,0,0
 48-58,0,0.41,0,0,0,0,1.1,0,0,0,0,0,0
 60-70,0.66,0,0,0,0,0,8.54,0.74,0,0,0,0,0
 72-82,1,1.44,0.74,0,2.46,0.54,0.93,0,0,0,0,0,0
 84-94,7.18,5.66,0,0,0,0,0,0,0,0,0,0,0
 96-106,17.33,0,0,0,0,0,0,1.81,0,0,0,0,0
108-118,24.54,6.17,2.57,1.21,0,0,3.86,0.5,0,0,0,0.56,0.49
120,86.11,0,0,0,0,0,12.83,6.32,0,0,0,0,0
