stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,29.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,13.2,0,0,0,0,5.61,0,0,0
 14-21,0,0,0.94,6.61,2.77,0,0,0,4.24,0.81,0,0,3.16,0,8.78,13.75,5.23,0,0,1.03,0,1.61,4.38,3.23,77.45,16.47,0,0
 24-34,0,0,2.83,1.17,0,1.34,0,0,9.01,0,0,0,9.27,0,1.37,30.49,0,0,1.55,0,0,0.61,1.1,1.03,4.4,9.04,6.46,0
 36-46,0,0,0,1.31,0,0,0,0,13.56,0,0,0,6.9,2.97,0.58,18.69,0,0.93,0,0,0,0,0,0,0,4.32,5.86,0
 48-58,0,0,0,0.63,0,5.86,1.56,0,8.16,0,0,0,5.55,0,2.22,2.53,0,0,0,0,0,0,0,0,0,0,2.09,0
 60-70,0,0,0,0,0,3.94,0,6.29,4.97,0,2.88,0,15.06,0,1.58,0.77,0,0,0,0,0.63,0,0,3.45,0,0,8.6,0.64
 72-82,0,0,0,0,1.23,2.28,0,3.22,1.61,0,1.47,0,10.15,3.4,0,6.19,0,0,0,0,0,0,0,0,0,0.9,3.25,0
 84-94,0,0,0,0.83,0,0.64,0,0.83,5.36,0,1.59,0.61,9.36,7.9,1.37,11.95,0,0,0,0,0,0,0,0,0,2.87,13.29,0.89
 96-106,0,0,0,0,0,1.61,0,0,1.29,0,0.58,0,8.51,4.81,2.49,3.65,0,0,0,0,0,0,0,0,0,0,1.39,0
108-118,0,0,0,0,0,0.44,0,3.53,5.76,0,0,0,6.42,5.14,0,8.16,0,0,1.43,0,0,0,0,0,0,0,13.92,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0
