stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.28,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.64,7.26,76.14,15.4,0,15.06,0.82,0,2.56,5.36,0,0.96,0,1.71,0,0,4.7,34.17,0,0,24.21,207.85,6.21,0,7.1,7.62,0,21.23,22.8,2.2,0.83,26.05,97.37,0,0,7.39,0,0
 24-34,0,0,0,0.59,19.4,2.53,0,7.94,0.78,3.5,1.39,1.02,0,7.47,0,2.93,0.61,0,0,49.01,0,1.63,31.29,191.33,5.65,0,1.73,0,0,29.71,0,0.94,1.94,4.89,46.86,0,0,51.37,0,0
 36-46,0,0,0,0,2.66,0,0,14.45,0,1.57,0.84,0,4.78,1.79,0,0.85,0,8.85,0,32.86,0,0.67,4.27,134.25,0.56,0,0,0,0,36.56,0,0,0,0,11.68,0,0,32.82,0,0
 48-58,0,0,0.44,0,22.7,0,0,24.9,0,0.82,6.5,0,4.3,4.23,1.29,0,0.39,0,0,37.24,0,1.97,4.67,124.56,4.49,0.47,0.41,0,0.56,17.74,0,0,0,0,11.13,0,2.09,19.07,0.48,0
 60-70,0,0,0,0,7.66,0,0,20.34,3.51,6.28,27.11,0,0,3.18,4.2,0,0,1.2,6.25,53.81,0,8.02,10.77,185.16,0.93,0,0,0,0,20.47,0,0,0,0,10.97,1.22,0.83,79.62,0,0
 72-82,0,0,1,0,4.5,0,0.76,34.78,0,1.12,34.82,0,0,3.67,11.85,2.11,0,3.56,0,98.26,6.51,5.58,7.96,330.42,0,0,1.24,0,2.72,15.84,0,0,0,0,13.1,0,9.68,74.94,1.49,3.13
 84-94,0,0,1.05,0,5.54,0,0,29.69,0,4.25,22.28,0.72,0,5.4,5.67,0,0,0,0,81.33,0,4.14,12.65,161.4,0.63,6.11,2.15,0,0.6,15.69,0,0,0,0,21.58,3.66,3.53,28.14,0,0
 96-106,0,0,0,0,3.9,7.51,0,7.58,0.74,1.53,18.64,0.56,0,5.68,2.4,0,1.6,0,0,80.25,0,1.76,0.62,203.22,0,0,0.64,0,0,25.2,0,0.69,0,0,7.37,0,3.79,43.25,5.76,0
108-118,0,0,0,0,5.94,0,0,19.86,2.36,4.36,39.08,0.43,0,2.82,10.27,0.67,0.57,0.99,0,101.28,0,4.75,1.68,332.33,0,0,0.96,0,3.92,7.16,0,0.55,0.5,0,7.76,0,0,40.15,0,0
120,0,0,0,0,4.09,1.61,0,21.21,0,0,48.86,0,0,0,21.53,0,0,0,0,66.31,0,1.41,2.07,575.25,0,1.91,3.63,0,0,9.31,0,0,0,0,8.85,0,1.95,52.82,0,0
