stage,axial,blastomeres,epidermis,eye,fin.epithelia,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,xanthophores
  3-4,0,26.03,0,0,0,0,0,0,0,0,0
  5-6,10.01,103.22,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.83,0,0,15.46,0,9.24,0,0
 10-12,0,9.09,0,0,0,0,14.46,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.48,0
 24-34,0,0,0,0,0,0,0,1.57,0,1.66,0
 36-46,0,0,0,0,0,1.45,2.21,0,0,0,2.58
 48-58,0,0,7.58,0,0,0,6.88,0,0,0,0
 72-82,0,0,4.51,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.5,0,0,0.69,0
 96-106,0,0,1.72,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.13,0,0,1.22,0
120,0,0,0,0,1.39,0,0,0,0,0,0
