stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,188.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94,0,0,0,0,0,0,0
  5-6,6.49,131.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,14.03,0,0,0,4.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.02,14.14,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,2.83,1.08,1.1,2.36,0,0,0,0.83,1.31,2.08,0,0,6.81,0
 24-34,0,0,0,1.37,7.19,2.86,1.93,0,0,0.71,0.62,0,0,0.86,0,0,0,0,0,6.72,12.68,0,2.97,0,0,5.86,0,0,5.46,0,0,66.26,0
 36-46,0,0,0,0,9.37,0,0.76,2.32,0,0,4.94,0,0,0,0,3.93,0.56,0,0,7.91,14.94,0,5.5,0,0,13.51,0,0,1.2,0,0,70.91,0
 48-58,0,0,0,0,14.88,0,0.53,1.27,0.81,0.92,3.65,0,0,1.5,3.07,5.74,0,0,0,9.96,18.62,0,4.74,0,0,1.75,0,0,6.33,0,0,29.11,0
 60-70,0,0,0,0,25.38,5.79,12.63,14.83,5.38,0,9.13,0,0,0.66,0,45.33,0,0,0,5.1,13.91,0,9.79,0,5.22,24.14,0,0,0.64,0,0,63.6,0
 72-82,0,0,0,0,3.35,0,0.51,2.91,5.58,1.01,6.14,0,0,0,0,29.88,0,0,0.74,11.63,2.3,0,5.92,0,0,2.55,0,0,5,0.5,0,80.87,0
 84-94,0,0,0,0,15.44,0,3.36,3.03,7.15,1.96,8.57,0,0,0,0,15.28,0,1.88,0,7.39,0.67,2.56,17.72,0,4.92,8.85,0,0,6.47,0.56,1.04,80.16,0
 96-106,0,0,1.19,0,17.6,0,1.16,7.98,0.94,6.8,5.39,0.91,0,0.75,0.62,35.6,0,1.14,0.59,10.63,1.19,2.74,16.28,0,3.03,22.45,0,0,0.97,0,0,68.25,0
108-118,0,0,0,0,17.6,0,2.87,4.28,3.01,13.45,2.58,1.23,0,1.43,0,45.22,0.43,1.36,0.55,18.68,6.53,0,23.3,0,11.85,6.8,0,0,0,3.69,3.45,60.9,0.65
120,0,0,0,0,25.67,0,7.67,2.34,2.22,7.82,29.55,1.07,4.95,0,0,29.93,2.14,12.65,0,17.54,6.76,0,23.77,0,24.59,4.74,0,0,11.94,0,1.95,73.25,0
