stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,143.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,147.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,17.14,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.1,0,0,15.97,0,0,0,102.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.25,0,0,0,61.84,0,3.26,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.17,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.56,7.36,0,0,192.82,0,0,0,0,39.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.65,171.07,10.79,0,39.44,0,0,0,8.81,9.78,0,0,0.97,0,3.36,0,9.66,62.61,0,0,39.43,223.67,4.67,0,5.25,12.81,0,0,0,23.5,5.93,4.72,31.38,354.81,0,0,3.39,0,4.23
 24-34,0,0,0.6,7.02,77.19,3.26,0,40.41,0,6.59,4.64,15.7,4.89,3.91,0,0.83,0,15.37,0.68,11.95,127.3,0,0,42.15,330.73,3.92,4.36,1.5,0,3.82,31.71,0,0,11.07,0,9.21,145.84,0,0,42.76,0,13.17
 36-46,0,0,0,0.74,42.17,1.34,0,26.17,0,5.71,12.14,36.25,0.66,0,0,0.6,6.66,6.7,0,10.42,251.87,0,0,34.28,158.97,1.59,4.24,2.05,0,1.74,15.01,0,0,10.47,0,0.6,61.35,0,0.62,17.96,0,1.52
 48-58,0,0,0,0.45,12.13,4.47,0,33.56,0,6.36,9.96,23.42,0.47,3.97,1.52,0.37,1.68,3.31,0,3.47,437.81,2.08,3.06,53.56,122.97,0,5.78,3.04,0,1.21,6.88,0,0,16.11,0,0,38.86,0,0.49,12.05,0,11.39
 60-70,0,0,0,0,29.87,0,0,25.48,0,4.59,15.71,39.7,3.14,1.76,0,0,1.14,2.59,5.11,0,581.28,1.01,19.14,26.87,68.95,2.82,1.98,2.84,0,3.73,14.76,0,0,5.56,0,0,11.96,0,7.96,13.53,1.77,15.95
 72-82,0,0,0,0,36.34,2.09,0,57.57,0,5.32,22.59,43.83,5.02,3.81,0,5.2,0.73,3.59,2.65,0,672.64,0,4.3,55.23,55.83,0,6.53,5.73,0,4.44,2.61,0,0,19.61,0,0,22.37,0,7.74,33.73,8.78,10.88
 84-94,0,0,0,0,45.7,2.71,0,42.66,0.67,13.29,23.53,41.52,3.08,4.09,0.7,6.2,1.91,2.14,8.92,0,566.2,0.61,17.31,27.37,61.24,7.52,1.21,3.36,0,5.32,22.33,0,0,10.64,0.57,0,38.95,2.21,11.5,19.29,6.96,2.53
 96-106,0,0,2.44,0,61.22,25.97,0,36.23,0,18.26,12.5,46.95,3.91,6.67,2.49,10.21,6.94,7.89,3.52,1.79,632.47,0.71,13.91,34.85,75.75,1.94,4.4,5.75,0,4.48,23.26,0,0,14.01,0,0,10.58,7.08,4.95,41.44,14.81,10.17
108-118,0,0,0,0,73.56,0,1.29,53.2,0.44,24.46,19.98,71.77,4.28,1.71,2.1,2.79,21.83,6.98,8.71,1.79,736.89,3.66,9.63,31.38,86.65,1.54,5.22,2.14,0,8.13,16.59,0,0,7.42,0,0,2.51,0.46,4.51,22.03,8.94,17.75
120,0,0,0,0,55.26,7.04,0,22.53,0,39.78,7.82,63.15,1.31,2.09,2.44,6.15,23.74,1.54,9.41,0,501.14,0,0,40.39,67.88,2.85,4.12,0,0,0,22.58,2.5,0,10.38,0,0,0,0,14.59,19.53,18.5,0
