stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.93,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,53.31,5.19,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.46,0,0,0,57.46,0,0,0,16.56,0,0,0,0,0,0,0,0
 14-21,0,1.72,52.81,1.86,0,33.75,0,0.96,10.89,0,0,0,0,0,0,0,0,6.85,0,0,0,357.41,0.86,0,0,4.14,0,2.27,9.53,0,0,0.9,2.48,0,0,0,0,0
 24-34,0,2.05,77.13,0,2.17,197.13,1.24,2.72,2.82,0,0,0,0,0,0,0,1.64,10.12,0,0,4.76,1662.05,0,1.21,0,0,0,0.98,0,0,0,9.16,17.06,0,0,0,0,0
 36-46,0,0,4.13,0,13.05,183.63,4.57,2.13,2.6,0,0,0,0,0,0,0,0,16,3.34,0,0.62,1980.47,0,0,0,0,0,5.97,0,0,0,0,6.07,0,0,0,0,0
 48-58,0,0.43,7.72,0,16.11,153.21,2.62,20.16,1.15,0,0,0,0.73,0,1.18,0,0,20.05,0,0,4.65,1295.78,0.51,1.51,0.66,0,0,8.79,0,0,0,0,13.44,0,0,0,0.5,1.18
 60-70,0,0,13.82,0,13.73,163.16,7.54,5.96,0,0,0,0,13.61,0,0,0,0,74.16,0,0,0.82,959.91,0,2.23,0.78,0,0,30.72,0,0,0,0,7.85,0,5.1,1.46,0,7.08
 72-82,0,0,4.21,0,79.57,125.48,12.87,15.74,0,0,0,0,7.63,0.57,0,0,0,135.3,0,0,1.91,865.78,0,0.68,0.67,0,0,13.13,0,0,0,0,0.81,0,0,0,0.73,4.24
 84-94,0,0,14.76,0.82,52.05,255.48,11.17,19.21,1.92,0,0,2.91,36.7,0,0,0,0,138.92,1.97,0,7.65,527.37,1.98,0,0,0,0,12.2,0,0,0,0,18.15,0.57,0,0,0.66,0
 96-106,0,0,6.8,10.53,18.16,265.7,6.08,7.58,2.34,0,0,1.85,50.68,0,0,0.6,0,153.63,0,0,4.15,466.14,0,2.7,0.65,0,2.69,9.34,0,0.69,0,0,5.58,0,0,3.44,2.15,0
108-118,0,0,12.12,1.11,42.07,323.88,5.64,8.38,3.66,0,0,3.84,41.94,0.92,0,0,0,137.56,3.37,5.57,0,964.74,0,4.73,0.44,0,0,15.9,0,0,0.63,0,48.23,0,0,0.72,0.7,0
120,0,0,18.43,0,42.61,275.25,1.26,20.54,6.85,0,13.62,0,14.74,0,0,0,0,145.04,0,10.64,0,812.47,0,0,0,0,0,8.01,0,0,0,0,21.65,0,0,0,0,0
