stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,10.07,135.09,21.98,0,90.72,0,0,0,65.53,1.98,0,1.7,0,0.81,0,0,0,0,62.37,0,0,43.6,1546.14,11.96,10.56,20.74,63.94,0,10.42,3.05,108.49,28.51,4.37,51.41,567.52,0,0,3.62,0,0
 24-34,0,2.93,36.75,4.93,0,98.43,0,1.25,0,59.62,1.08,0.74,1.36,0.71,0.6,0,3.59,1.7,0,89.59,0,0,33.82,1202.96,3.15,17.51,15.09,0,0,8.27,2.88,0,10.62,1.16,14.83,295.38,0,0,4.73,0,15.34
 36-46,0.98,0.56,9.79,0,0,152.5,0,1.17,4,54.87,1.37,0,1.25,0,0,1.21,0.81,0,0,73.98,0,0.86,17.25,1070.35,0.82,29.34,7.09,0,0,14.3,0.74,0,5.01,0,0,228.08,0,0,0.73,0,1.78
 48-58,0,0,10.96,0.56,0,517.62,0,1.23,2.34,77.59,0,0.49,1,2.01,1.54,1.3,3.78,1.61,0,85.36,0,2.16,21.42,1089.41,0.56,11.63,2.47,0,0,1.27,0,0,1.69,0,0,160.45,0,0,15.74,0,7.1
 60-70,0.62,0,23.12,1.56,0,1201.65,0,0,5.84,59.22,1.39,0,0,0,2.99,0,2.85,0,0,75.45,0,5.23,9.89,950.5,0,6.23,6.11,0,0,10.06,0,0,0,0,0,107.96,0,3.14,12.31,1.79,0
 72-82,1.44,0,11.77,3.83,0,1184.36,0,1.19,6.32,61.91,1.93,0,1.4,0,4.07,0.54,0,0,0,106.68,1.14,5.38,11.1,803.31,0.53,24.47,20.13,0,0,5.75,0,0,4.9,0,0,58.12,0,1.93,2.15,3.03,0
 84-94,2.75,1.01,17,16.61,0,1176.15,0,1.99,1.75,42.46,4.13,0,2.03,3.41,7.55,0,3.11,1.69,12.17,88.88,0.65,6.31,9.94,648,0.58,22.7,14.85,0,0,11.8,0,0,1.54,0,0,74.1,2.99,4.72,9.73,6.84,0.8
 96-106,5.39,0,16.31,2.99,0.97,1041.09,0.93,0.91,3.17,71.32,6.41,0,0,1.95,7.73,4.61,2.33,3.81,1.45,91.35,0.68,6.08,12.96,437.7,2.81,43.11,13.2,0,3.07,9.6,0.7,0,2.65,0,0,31.21,0,3.93,4.37,3.01,1.13
108-118,0.93,0,29.99,4.6,2.21,846.03,0,3.22,7.44,58.71,4.55,0,1.34,2.13,11.26,4.4,4.17,0,0.61,109.48,0,4.15,11.64,693.93,1.3,32.57,18.67,0,3.44,5.98,0,0,1.27,0.69,0,16.29,0.83,0.57,4.8,6.96,7.22
120,0,0,61.49,11.31,2.3,607.75,0,8.76,1.82,94.73,1.71,0,0,5.6,11.2,0,6.63,0,4.02,130.68,0,6.66,11.43,1007.08,3.22,47.68,13.34,0,0,20.62,0,0,0,0,0,7.63,0,0,21.5,21.38,6.16
