stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0
 48-58,0,0,0,0,0,0,0.8,0,0,0,0,3.8,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.17,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0
 72-82,2.67,1.27,0,0,0,0,0,66.7,0,0,0,0,0,2.08,0,4.76,0,0,0
 84-94,18.2,0,0,0,0,0,0,144.45,0,0,0,0,0,0,0,2.43,0,5.63,0
 96-106,34.65,0.67,0,3.55,0,1.9,6.1,220.86,1.96,0,0,16.82,0,0,1.94,9.23,0,0,0.8
108-118,34.5,0.72,1,1.92,0.91,0,0,286.2,0,0.41,0.87,6.24,1.18,6.81,0,14.13,0.57,0,0
120,0,3.24,0,0,0,0,0,283.25,0,0,0,6.37,0,2.35,0,7.58,0,0,0
